from_regime_id,from_regime_label,to_regime_id,to_regime_label,transition_count,from_row_total,mle_probability,posterior_parameter,posterior_predictive_probability,credible_interval_level,credible_interval_lower,credible_interval_upper
growth_up_inflation_up,Growth composite up / inflation composite up,growth_up_inflation_up,Growth composite up / inflation composite up,73,104,0.7019230769230769,73.5,0.6933962264150944,0.95,0.6028024471257636,0.7770778220037327
growth_up_inflation_up,Growth composite up / inflation composite up,growth_down_inflation_up,Growth composite down / inflation composite up,16,104,0.15384615384615385,16.5,0.15566037735849056,0.95,0.0934486736489727,0.23015373275377282
growth_up_inflation_up,Growth composite up / inflation composite up,growth_up_inflation_down,Growth composite up / inflation composite down,13,104,0.125,13.5,0.12735849056603774,0.95,0.07121252718882204,0.1967822202739594
growth_up_inflation_up,Growth composite up / inflation composite up,growth_down_inflation_down,Growth composite down / inflation composite down,2,104,0.019230769230769232,2.5,0.02358490566037736,0.95,0.003978779814505395,0.05969433604004113
growth_down_inflation_up,Growth composite down / inflation composite up,growth_up_inflation_up,Growth composite up / inflation composite up,13,40,0.325,13.5,0.32142857142857145,0.95,0.1907892075541912,0.46817305748780774
growth_down_inflation_up,Growth composite down / inflation composite up,growth_down_inflation_up,Growth composite down / inflation composite up,19,40,0.475,19.5,0.4642857142857143,0.95,0.31762610423871934,0.6141697386537237
growth_down_inflation_up,Growth composite down / inflation composite up,growth_up_inflation_down,Growth composite up / inflation composite down,4,40,0.1,4.5,0.10714285714285714,0.95,0.033836497139370425,0.21547223146355604
growth_down_inflation_up,Growth composite down / inflation composite up,growth_down_inflation_down,Growth composite down / inflation composite down,4,40,0.1,4.5,0.10714285714285714,0.95,0.033836497139370425,0.21547223146355604
growth_up_inflation_down,Growth composite up / inflation composite down,growth_up_inflation_up,Growth composite up / inflation composite up,15,71,0.2112676056338028,15.5,0.21232876712328766,0.95,0.12709707125852981,0.31246907756511383
growth_up_inflation_down,Growth composite up / inflation composite down,growth_down_inflation_up,Growth composite down / inflation composite up,2,71,0.028169014084507043,2.5,0.03424657534246575,0.95,0.005816364248676578,0.08612697632302263
growth_up_inflation_down,Growth composite up / inflation composite down,growth_up_inflation_down,Growth composite up / inflation composite down,48,71,0.676056338028169,48.5,0.6643835616438356,0.95,0.5529099197224736,0.7673246803672578
growth_up_inflation_down,Growth composite up / inflation composite down,growth_down_inflation_down,Growth composite down / inflation composite down,6,71,0.08450704225352113,6.5,0.08904109589041095,0.95,0.035534839735054946,0.16369862890688425
growth_down_inflation_down,Growth composite down / inflation composite down,growth_up_inflation_up,Growth composite up / inflation composite up,3,29,0.10344827586206896,3.5,0.11290322580645161,0.95,0.02898061903272649,0.2434016089849271
growth_down_inflation_down,Growth composite down / inflation composite down,growth_down_inflation_up,Growth composite down / inflation composite up,4,29,0.13793103448275862,4.5,0.14516129032258066,0.95,0.046727502184824736,0.28652892684826214
growth_down_inflation_down,Growth composite down / inflation composite down,growth_up_inflation_down,Growth composite up / inflation composite down,5,29,0.1724137931034483,5.5,0.1774193548387097,0.95,0.06657395356745499,0.3274277516634612
growth_down_inflation_down,Growth composite down / inflation composite down,growth_down_inflation_down,Growth composite down / inflation composite down,17,29,0.5862068965517241,17.5,0.5645161290322581,0.95,0.39006027193560905,0.7310808335552709
