method,specification_type,parameter,parameter_value,kappa,annualized_volatility_cap,per_asset_transaction_cost,concentration_cap_multiplier,total_return,delta_total_return_vs_baseline,cagr,delta_cagr_vs_baseline,annualized_volatility,delta_annualized_volatility_vs_baseline,sharpe_zero_rate,delta_sharpe_zero_rate_vs_baseline,sharpe_excess_bil,delta_sharpe_excess_bil_vs_baseline,maximum_drawdown,delta_maximum_drawdown_vs_baseline,annualized_one_way_turnover,delta_annualized_one_way_turnover_vs_baseline,annualized_cost_drag,delta_annualized_cost_drag_vs_baseline
posterior_optimized,baseline,baseline,1.0,24.0,0.1,0.0005,1.0,1.242718250855631,0.0,0.09968325941579015,0.0,0.10144828911935516,0.0,0.9907384665111211,0.0,0.747268843112962,0.0,-0.21157289130713264,0.0,0.3946127428561143,0.0,0.0004340820739738849,0.0
sensitivity_kappa_0,sensitivity,regime_mean_pseudo_months,0.0,0.0,0.1,0.0005,1.0,1.1029961649257616,-0.13972208592986934,0.09139258223565028,-0.008290677180139872,0.08606045759530838,-0.015387831524046783,1.0625632344239246,0.07182476791280357,0.7767977920212326,0.029528948908270514,-0.1814803348903129,0.030092556416819738,0.6780803131804576,0.2834675703243433,0.0007404063055707066,0.00030632423159682176
sensitivity_kappa_12,sensitivity,regime_mean_pseudo_months,12.0,12.0,0.1,0.0005,1.0,1.1696910804065146,-0.07302717044911633,0.0954087960373966,-0.004274463378393545,0.09998440739486934,-0.0014638817244858188,0.9645550665911461,-0.02618339991997498,0.7176980287808171,-0.029570814332144923,-0.2115728913071323,3.3306690738754696e-16,0.48145303120533045,0.08684028834921614,0.000527577383289124,9.349530931523908e-05
sensitivity_kappa_48,sensitivity,regime_mean_pseudo_months,48.0,48.0,0.1,0.0005,1.0,1.2260920557080706,-0.016626195147560363,0.09872100134760498,-0.0009622580681851733,0.10157589097185997,0.00012760185250480782,0.9809437359481334,-0.00979473056298763,0.737915329291131,-0.009353513821831028,-0.21157289130713253,1.1102230246251565e-16,0.33488815816450734,-0.05972458469160696,0.0003680430401289403,-6.603903384494458e-05
sensitivity_kappa_96,sensitivity,regime_mean_pseudo_months,96.0,96.0,0.1,0.0005,1.0,1.1990798279210706,-0.04363842293456033,0.0971440354680766,-0.0025392239477135536,0.10086388001704256,-0.0005844091023125969,0.9729057891654375,-0.017832677345683612,0.7282326479919539,-0.01903619512100818,-0.2205482523592336,-0.00897536105210095,0.2371569420704292,-0.1574558007856851,0.00026024772595101275,-0.00017383434802287212
sensitivity_volatility_cap_0.08,sensitivity,annualized_volatility_cap,0.08,24.0,0.08,0.0005,1.0,1.063361331416064,-0.179356919439567,0.08895230203743876,-0.010730957378351391,0.09475472466691226,-0.006693564452442902,0.9495720032564613,-0.04116646325465978,0.6884563398791841,-0.05881250323377796,-0.19906553644586822,0.01250735486126442,0.48994800830984864,0.09533526545373433,0.0005337138088101767,9.963173483629184e-05
sensitivity_volatility_cap_0.12,sensitivity,annualized_volatility_cap,0.12,24.0,0.12,0.0005,1.0,1.242718250855631,0.0,0.09968325941579015,0.0,0.10144828911935516,0.0,0.9907384665111211,0.0,0.747268843112962,0.0,-0.21157289130713264,0.0,0.3946127428561143,0.0,0.0004340820739738849,0.0
sensitivity_transaction_cost_0,sensitivity,per_asset_transaction_cost,0.0,24.0,0.1,0.0,1.0,1.1420338292256407,-0.10068442162999025,0.09375674476885676,-0.00592651464693339,0.09628308271386057,-0.005165206405494588,0.9820957812705589,-0.00864268524056222,0.7254085470657416,-0.021860296047220396,-0.2122676692189901,-0.0006947779118574582,1.3293698609744562,0.9347571181183418,0.0,-0.0004340820739738849
sensitivity_transaction_cost_0.001,sensitivity,per_asset_transaction_cost,0.001,24.0,0.1,0.001,1.0,1.1494231856113823,-0.09329506524424858,0.09419996754446558,-0.005483291871324569,0.10058189818313786,-0.0008663909362173067,0.9484366427039183,-0.04230182380720282,0.7032297585023866,-0.044039084610575485,-0.22056439974349074,-0.008991508436358098,0.2671373096963943,-0.12747543315972,0.0005848676088442417,0.00015078553487035684
sensitivity_concentration_caps_0.8,sensitivity,concentration_cap_multiplier,0.8,24.0,0.1,0.0005,0.8,0.9769563009854596,-0.2657619498701713,0.08348570213821893,-0.016197557277571217,0.08907203468580667,-0.012376254433548492,0.94738659226622,-0.043351874244901056,0.6702525118083521,-0.07701633130460994,-0.1900924683653612,0.021480422941771438,0.31098733218641267,-0.08362541066970164,0.000337035558599208,-9.70465153746769e-05
sensitivity_concentration_caps_1.2,sensitivity,concentration_cap_multiplier,1.2,24.0,0.1,0.0005,1.2,1.460194165707763,0.21747591485213214,0.11172250709013132,0.01203924767434117,0.10944094467584053,0.007992655556485373,1.026365550326801,0.035627083815679916,0.8003008563476138,0.05303201323465179,-0.21639490313870136,-0.004822011831568718,0.5355819006000655,0.1409691577439512,0.0005956533024438215,0.00016157122846993666
