method,ticker,average_target_weight,maximum_target_weight,minimum_target_weight,weeks,fraction_weeks_above_one_percent,asset_cap,fraction_weeks_at_asset_cap
posterior_optimized,SPY,0.34682463196252417,0.35000000000000103,0.2521309195881544,445,1.0,0.35,0.7348314606741573
posterior_optimized,IEF,0.00010224051195954222,0.002943610549225579,0.0,445,0.0,0.5,0.0
posterior_optimized,TIP,0.0010973568131208739,0.018743872099460435,0.0,445,0.0449438202247191,0.4,0.0
posterior_optimized,LQD,0.18287864192798683,0.2621895280570085,0.05096420669839805,445,1.0,0.4,0.0
posterior_optimized,HYG,0.14345695168696043,0.15308006878119398,0.0,445,0.9730337078651685,0.25,0.0
posterior_optimized,BIL,0.0,0.0,0.0,445,0.0,1.0,0.0
posterior_optimized,GLD,0.14609504364917913,0.25000000000000056,0.0,445,0.851685393258427,0.25,0.44269662921348313
posterior_optimized,DBC,6.261382541793371e-06,0.00046621361564971186,0.0,445,0.0,0.25,0.0
posterior_optimized,UUP,0.0,0.0,0.0,445,0.0,0.25,0.0
posterior_optimized,TLT,0.17953887206572727,0.2500000000000007,0.023319308004455676,445,1.0,0.25,0.11685393258426967
posterior_optimized,USO,0.0,0.0,0.0,445,0.0,0.1,0.0
posterior_optimized,AGG,0.0,0.0,0.0,445,0.0,0.5,0.0
pooled_mean_optimizer,SPY,0.34951247428157434,0.3500000000000015,0.33744339429014114,445,1.0,0.35,0.8337078651685393
pooled_mean_optimizer,IEF,0.0,0.0,0.0,445,0.0,0.5,0.0
pooled_mean_optimizer,TIP,0.0,0.0,0.0,445,0.0,0.4,0.0
pooled_mean_optimizer,LQD,0.18021944473048282,0.2621895280570061,0.06965450034584587,445,1.0,0.4,0.0
pooled_mean_optimizer,HYG,0.14546379190037184,0.15307585478984623,0.13381840773032355,445,1.0,0.25,0.0
pooled_mean_optimizer,BIL,0.0,0.0,0.0,445,0.0,1.0,0.0
pooled_mean_optimizer,GLD,0.118520758775691,0.25000000000000067,0.0,445,0.7280898876404495,0.25,0.25842696629213485
pooled_mean_optimizer,DBC,0.0,0.0,0.0,445,0.0,0.25,0.0
pooled_mean_optimizer,UUP,0.0,0.0,0.0,445,0.0,0.25,0.0
pooled_mean_optimizer,TLT,0.20628353031188004,0.2500000000000006,0.05488981907128418,445,1.0,0.25,0.30337078651685395
pooled_mean_optimizer,USO,0.0,0.0,0.0,445,0.0,0.1,0.0
pooled_mean_optimizer,AGG,0.0,0.0,0.0,445,0.0,0.5,0.0
equal_weight,SPY,0.08333333333333333,0.08333333333333333,0.08333333333333333,445,1.0,0.35,
equal_weight,IEF,0.08333333333333333,0.08333333333333333,0.08333333333333333,445,1.0,0.5,
equal_weight,TIP,0.08333333333333333,0.08333333333333333,0.08333333333333333,445,1.0,0.4,
equal_weight,LQD,0.08333333333333333,0.08333333333333333,0.08333333333333333,445,1.0,0.4,
equal_weight,HYG,0.08333333333333333,0.08333333333333333,0.08333333333333333,445,1.0,0.25,
equal_weight,BIL,0.08333333333333333,0.08333333333333333,0.08333333333333333,445,1.0,1.0,
equal_weight,GLD,0.08333333333333333,0.08333333333333333,0.08333333333333333,445,1.0,0.25,
equal_weight,DBC,0.08333333333333333,0.08333333333333333,0.08333333333333333,445,1.0,0.25,
equal_weight,UUP,0.08333333333333333,0.08333333333333333,0.08333333333333333,445,1.0,0.25,
equal_weight,TLT,0.08333333333333333,0.08333333333333333,0.08333333333333333,445,1.0,0.25,
equal_weight,USO,0.08333333333333333,0.08333333333333333,0.08333333333333333,445,1.0,0.1,
equal_weight,AGG,0.08333333333333333,0.08333333333333333,0.08333333333333333,445,1.0,0.5,
static_60_spy_40_agg,SPY,0.6,0.6,0.6,445,1.0,0.35,
static_60_spy_40_agg,IEF,0.0,0.0,0.0,445,0.0,0.5,
static_60_spy_40_agg,TIP,0.0,0.0,0.0,445,0.0,0.4,
static_60_spy_40_agg,LQD,0.0,0.0,0.0,445,0.0,0.4,
static_60_spy_40_agg,HYG,0.0,0.0,0.0,445,0.0,0.25,
static_60_spy_40_agg,BIL,0.0,0.0,0.0,445,0.0,1.0,
static_60_spy_40_agg,GLD,0.0,0.0,0.0,445,0.0,0.25,
static_60_spy_40_agg,DBC,0.0,0.0,0.0,445,0.0,0.25,
static_60_spy_40_agg,UUP,0.0,0.0,0.0,445,0.0,0.25,
static_60_spy_40_agg,TLT,0.0,0.0,0.0,445,0.0,0.25,
static_60_spy_40_agg,USO,0.0,0.0,0.0,445,0.0,0.1,
static_60_spy_40_agg,AGG,0.4,0.4,0.4,445,1.0,0.5,
