method,specification_type,parameter,parameter_value,pseudo_weeks,annualized_volatility_cap,per_asset_transaction_cost,concentration_cap_multiplier,total_return,delta_total_return_vs_baseline,cagr,delta_cagr_vs_baseline,annualized_volatility,delta_annualized_volatility_vs_baseline,sharpe_zero_rate,delta_sharpe_zero_rate_vs_baseline,sharpe_excess_bil,delta_sharpe_excess_bil_vs_baseline,maximum_drawdown,delta_maximum_drawdown_vs_baseline,annualized_one_way_turnover,delta_annualized_one_way_turnover_vs_baseline,annualized_cost_drag,delta_annualized_cost_drag_vs_baseline
posterior_optimized,baseline,baseline,1.0,104.0,0.1,0.0005,1.0,1.2360208644390345,0.0,0.09859502405745069,0.0,0.104169886675157,0.0,0.9556495585744597,0.0,0.7169033329847718,0.0,-0.21754547146739,0.0,0.2919215213998995,0.0,0.0003207683515378257,0.0
sensitivity_kappa_0,sensitivity,regime_mean_pseudo_weeks,0.0,0.0,0.1,0.0005,1.0,1.0039503447328135,-0.23207051970622095,0.08461767641263762,-0.013977347644813065,0.10030811189591535,-0.0038617747792416557,0.8607669475657203,-0.0948826110087394,0.6133367220216261,-0.10356661096314568,-0.21088495581730937,0.006660515650080634,0.4196690091589411,0.1277474877590416,0.000455321258098218,0.00013455290656039232
sensitivity_kappa_52,sensitivity,regime_mean_pseudo_weeks,52.0,52.0,0.1,0.0005,1.0,1.177748245492718,-0.05827261894631652,0.09521031581836126,-0.003384708239089429,0.10230388552382756,-0.0018660011513294411,0.9409918028425505,-0.014657755731909194,0.6979842501097258,-0.018919082875046067,-0.2166243057113808,0.0009211657560092013,0.3581563679681032,0.06623484656820366,0.00039235926163905255,7.159091010122687e-05
sensitivity_kappa_208,sensitivity,regime_mean_pseudo_weeks,208.0,208.0,0.1,0.0005,1.0,1.2365290353174374,0.000508170878402936,0.09862419639987818,2.9172342427497e-05,0.1043588264243048,0.00018893974914779843,0.9543607532009354,-0.001288805373524271,0.7160455652857387,-0.0008577676990331184,-0.21804721802609506,-0.0005017465587050518,0.29072794344795966,-0.0011935779519398615,0.00031946496271939573,-1.3033888184299514e-06
sensitivity_kappa_416,sensitivity,regime_mean_pseudo_weeks,416.0,416.0,0.1,0.0005,1.0,1.2232809763821786,-0.012739888056855886,0.09786175070769865,-0.0007332733497520394,0.10507703798863098,0.0009071513134739778,0.9419144211018976,-0.013735137472562053,0.7052319404226719,-0.011671392562099925,-0.21915776000124043,-0.0016122885338504256,0.2874171338472131,-0.004504387552686395,0.00031560694980958814,-5.161401728237536e-06
sensitivity_volatility_cap_0.08,sensitivity,annualized_volatility_cap,0.08,104.0,0.08,0.0005,1.0,0.8710722364611114,-0.36494862797792305,0.07595684138636427,-0.022638182671086415,0.09520816476763615,-0.008961721907520856,0.8171957356671865,-0.13845382290727315,0.5561372775245735,-0.1607660554601983,-0.2086728149934115,0.008872656473978502,0.29867330739259546,0.006751785992695936,0.000321428850035943,6.604984981173345e-07
sensitivity_volatility_cap_0.12,sensitivity,annualized_volatility_cap,0.12,104.0,0.12,0.0005,1.0,1.2365826291893085,0.0005617647502740297,0.09862727269849358,3.224864104289793e-05,0.10418419712705938,1.4310451902380117e-05,0.9558147947187994,0.0001652361443397199,0.717102114005773,0.0001987810210011265,-0.21754547146739,0.0,0.2913734589526076,-0.0005480624472919415,0.00032017547815477165,-5.928733830540267e-07
sensitivity_transaction_cost_0,sensitivity,per_asset_transaction_cost,0.0,104.0,0.1,0.0,1.0,1.156109592888877,-0.07991127155015754,0.0939330636383946,-0.004661960419056088,0.10119693810137953,-0.002972948573777473,0.9387089436372905,-0.01694061493716914,0.6933460756731153,-0.023557257311656477,-0.19961801743738639,0.01792745403000362,1.5605136637620272,1.2685921423621276,0.0,-0.0003207683515378257
sensitivity_transaction_cost_0.001,sensitivity,per_asset_transaction_cost,0.001,104.0,0.1,0.001,1.0,1.1948424539671794,-0.04117841047185511,0.09621142547464223,-0.002383598582808455,0.10385093657764383,-0.0003189500975131765,0.9373073467496801,-0.018342211824779575,0.6978555275141594,-0.019047805470612467,-0.2171989301093895,0.0003465413580004961,0.21815119809284564,-0.07377032330705388,0.00047845218712638804,0.00015768383558856236
sensitivity_concentration_caps_0.8,sensitivity,concentration_cap_multiplier,0.8,104.0,0.1,0.0005,0.8,0.9848005122005352,-0.25122035223849926,0.08340138458175694,-0.015193639475693743,0.091294667647281,-0.012875219027876,0.9238642332962342,-0.03178532527822542,0.6516190413707571,-0.06528429161401472,-0.18779314914138456,0.029752322326005443,0.2873457665731266,-0.004575754826772915,0.00031137222277433096,-9.396128763494715e-06
sensitivity_concentration_caps_1.2,sensitivity,concentration_cap_multiplier,1.2,104.0,0.1,0.0005,1.2,1.2019868459167045,-0.03403401852233001,0.09662779234556318,-0.001967231711887507,0.11040935835569152,0.006239471680534514,0.8913636734939536,-0.06428588508050603,0.6661685345102626,-0.050734798474509235,-0.2427314718753283,-0.02518600040793828,0.30543961737701564,0.013518095977116118,0.00033502996604450885,1.4261614506683173e-05
