checkpoint_id,filter_variant,as_of_date,checkpoint_type,regime_0,regime_1,regime_2,regime_3,probability,sobol_samples,maximum_marginal_probability_error
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_up,growth_up_inflation_up,growth_up_inflation_up,0.0120849609375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_up,growth_up_inflation_up,growth_down_inflation_up,0.01470947265625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_up,growth_up_inflation_up,growth_up_inflation_down,0.00946044921875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_up,growth_up_inflation_up,growth_down_inflation_down,0.0050048828125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_up,growth_down_inflation_up,growth_up_inflation_up,0.0186767578125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_up,growth_down_inflation_up,growth_down_inflation_up,0.025146484375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_up,growth_down_inflation_up,growth_up_inflation_down,0.01458740234375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_up,growth_down_inflation_up,growth_down_inflation_down,0.01019287109375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_up,growth_up_inflation_down,growth_up_inflation_up,0.00567626953125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_up,growth_up_inflation_down,growth_down_inflation_up,0.00860595703125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_up,growth_up_inflation_down,growth_up_inflation_down,0.00762939453125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_up,growth_up_inflation_down,growth_down_inflation_down,0.00579833984375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_up,growth_down_inflation_down,growth_up_inflation_up,0.006103515625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_up,growth_down_inflation_down,growth_down_inflation_up,0.01031494140625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_up,growth_down_inflation_down,growth_up_inflation_down,0.00909423828125,16384,0.001393725632879178
