comparison_id,candidate_id,reference_id,block_id,experiment_arm,primary_atomic,comparison_scope,evaluation_checkpoint,paired_months,first_paired_month,last_paired_month,mean_delta_score_center_negative_log_predictive_density,median_delta_score_center_negative_log_predictive_density,mean_block_benefit_score_center_negative_log_predictive_density,mean_delta_quadrant_cross_entropy_to_exact_score_map,median_delta_quadrant_cross_entropy_to_exact_score_map,mean_block_benefit_quadrant_cross_entropy_to_exact_score_map,mean_delta_quadrant_brier_distance_to_exact_score_map,median_delta_quadrant_brier_distance_to_exact_score_map,mean_block_benefit_quadrant_brier_distance_to_exact_score_map,mean_delta_hard_quadrant_correct,median_delta_hard_quadrant_correct,mean_block_benefit_hard_quadrant_correct,candidate_publication_role,reference_publication_role
student_t_7_reduced_core__vs__transition_only,student_t_7_reduced_core,transition_only,complete_reduced_core,current_baseline_vs_transition_only,False,full_common_calendar,after_employment_situation,183,2011-01-01,2026-05-01,-19.312865657720643,-0.8788659312184546,19.312865657720643,-0.1017393484460751,-0.03485365026844578,0.1017393484460751,-0.04872982326533413,-0.01537666268533748,0.04872982326533413,0.17486338797814208,0.0,0.17486338797814208,baseline,major_benchmark
student_t_7_reduced_core__vs__transition_only,student_t_7_reduced_core,transition_only,complete_reduced_core,current_baseline_vs_transition_only,False,full_common_calendar,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-21.21826817083923,-2.247852268874543,21.21826817083923,-0.23964884399737144,-0.1326804206247898,0.23964884399737144,-0.11823380300973511,-0.06239524248615996,0.11823380300973511,0.4207650273224044,0.0,0.4207650273224044,baseline,major_benchmark
student_t_7_reduced_core__vs__transition_only,student_t_7_reduced_core,transition_only,complete_reduced_core,current_baseline_vs_transition_only,False,full_common_calendar,before_any_defining_release,183,2011-01-01,2026-05-01,-0.06741541713508543,-8.881784197001252e-16,0.06741541713508543,0.0004179205373026565,0.0,-0.0004179205373026565,0.0008602506422171855,0.0,-0.0008602506422171855,0.01639344262295082,0.0,0.01639344262295082,baseline,major_benchmark
student_t_7_reduced_core__vs__transition_only,student_t_7_reduced_core,transition_only,complete_reduced_core,current_baseline_vs_transition_only,False,full_common_calendar,strict_pre_final_score_day,183,2011-01-01,2026-05-01,-21.253944018461215,-2.261545935379086,21.253944018461215,-0.2384614827435936,-0.1326804206247898,0.2384614827435936,-0.11746320746839735,-0.061675231321693905,0.11746320746839735,0.3879781420765027,0.0,0.3879781420765027,baseline,major_benchmark
student_t_7_reduced_core__vs__partial_only,student_t_7_reduced_core,partial_only,non_defining_reduced_core,current_baseline_vs_partial_only,False,full_common_calendar,after_employment_situation,183,2011-01-01,2026-05-01,-0.05291541256399495,-2.220446049250313e-16,0.05291541256399495,-0.00027122463503256335,0.0,0.00027122463503256335,-8.22055228999733e-05,0.0,8.22055228999733e-05,0.01092896174863388,0.0,0.01092896174863388,baseline,major_benchmark
student_t_7_reduced_core__vs__partial_only,student_t_7_reduced_core,partial_only,non_defining_reduced_core,current_baseline_vs_partial_only,False,full_common_calendar,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-0.13305235516181127,-0.029118992913505393,0.13305235516181127,-0.002462939351393785,-0.00037281328937033287,0.002462939351393785,-0.0005891570345741665,-0.0001341288632606668,0.0005891570345741665,-0.060109289617486336,0.0,-0.060109289617486336,baseline,major_benchmark
student_t_7_reduced_core__vs__partial_only,student_t_7_reduced_core,partial_only,non_defining_reduced_core,current_baseline_vs_partial_only,False,full_common_calendar,before_any_defining_release,183,2011-01-01,2026-05-01,-0.06671225447767623,-4.440892098500626e-16,0.06671225447767623,-0.0012598533456983781,0.0,0.0012598533456983781,-5.0603416770799516e-05,0.0,5.0603416770799516e-05,0.01639344262295082,0.0,0.01639344262295082,baseline,major_benchmark
student_t_7_reduced_core__vs__partial_only,student_t_7_reduced_core,partial_only,non_defining_reduced_core,current_baseline_vs_partial_only,False,full_common_calendar,strict_pre_final_score_day,183,2011-01-01,2026-05-01,-0.17048319368045856,-0.041093933936402705,0.17048319368045856,-0.0022552079311074667,-0.0006665766484291735,0.0022552079311074667,-0.0002942391474415968,-0.00019293976595337984,0.0002942391474415968,-0.08743169398907104,0.0,-0.08743169398907104,baseline,major_benchmark
student_t_7_reduced_core__vs__student_t_7_combined,student_t_7_reduced_core,student_t_7_combined,evidence_graph_revision,current_baseline_vs_frozen_predecessor,False,full_common_calendar,after_employment_situation,183,2011-01-01,2026-05-01,-0.0008483023411926101,0.0,0.0008483023411926101,-0.0001572627324912002,0.0,0.0001572627324912002,-7.752154672616562e-05,0.0,7.752154672616562e-05,0.00546448087431694,0.0,0.00546448087431694,baseline,major_benchmark
student_t_7_reduced_core__vs__student_t_7_combined,student_t_7_reduced_core,student_t_7_combined,evidence_graph_revision,current_baseline_vs_frozen_predecessor,False,full_common_calendar,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-0.04679220171309142,-0.008603262219784469,0.04679220171309142,-0.002887738361789062,-0.0001291608847792114,0.002887738361789062,-0.000757984608047172,-2.165801081430987e-05,0.000757984608047172,-0.00546448087431694,0.0,-0.00546448087431694,baseline,major_benchmark
