catalog_id,entry_type,variant_id,publication_role,source_stage,status,results_path,config_path,manifest_path
stage:evidence_block_inference,archived_stage,,sensitivity,evidence_block_inference,retained_historical_sensitivity_namespace,results/published/m02_soft_composite/evidence_block_inference,configs/models/m02_evidence_block_inference.yaml,data/manifests/m02_evidence_block_inference.json
stage:existing_block_attribution,archived_stage,,sensitivity,existing_block_attribution,retained_historical_sensitivity_namespace,results/published/m02_soft_composite/existing_block_attribution,configs/models/m02_existing_block_attribution.yaml,data/manifests/m02_existing_block_attribution.json
stage:feature_revision,archived_stage,,sensitivity,feature_revision,retained_historical_sensitivity_namespace,results/published/m02_soft_composite/feature_revision,configs/models/m02_feature_revision.yaml,data/manifests/m02_feature_revision.json
stage:inference_sensitivities,archived_stage,,sensitivity,inference_sensitivities,retained_historical_sensitivity_namespace,results/published/m02_soft_composite/inference_sensitivities,configs/models/m02_inference_sensitivities.yaml,data/manifests/m02_inference_sensitivities.json
variant:student_t_7_reduced_core_with_expectations,model_variant,student_t_7_reduced_core_with_expectations,sensitivity,current_baseline,current_baseline_sensitivity,results/published/m02_soft_composite/current,,
variant:all_revised_candidate,model_variant,all_revised_candidate,sensitivity,feature_revision,retained_historical_sensitivity,results/published/m02_soft_composite/feature_revision,,
variant:business_activity_only,model_variant,business_activity_only,sensitivity,feature_revision,retained_historical_sensitivity,results/published/m02_soft_composite/feature_revision,,
variant:business_legacy,model_variant,business_legacy,sensitivity,feature_revision,retained_historical_sensitivity,results/published/m02_soft_composite/feature_revision,,
variant:business_none,model_variant,business_none,sensitivity,feature_revision,retained_historical_sensitivity,results/published/m02_soft_composite/feature_revision,,
variant:business_pipeline_only,model_variant,business_pipeline_only,sensitivity,feature_revision,retained_historical_sensitivity,results/published/m02_soft_composite/feature_revision,,
variant:business_revised_joint,model_variant,business_revised_joint,sensitivity,feature_revision,retained_historical_sensitivity,results/published/m02_soft_composite/feature_revision,,
variant:claims_ccsa_conditional_only,model_variant,claims_ccsa_conditional_only,sensitivity,feature_revision,retained_historical_sensitivity,results/published/m02_soft_composite/feature_revision,,
variant:claims_conditional_joint,model_variant,claims_conditional_joint,sensitivity,feature_revision,retained_historical_sensitivity,results/published/m02_soft_composite/feature_revision,,
variant:claims_icsa_only,model_variant,claims_icsa_only,sensitivity,feature_revision,retained_historical_sensitivity,results/published/m02_soft_composite/feature_revision,,
variant:claims_independent,model_variant,claims_independent,sensitivity,feature_revision,retained_historical_sensitivity,results/published/m02_soft_composite/feature_revision,,
variant:claims_none,model_variant,claims_none,sensitivity,feature_revision,retained_historical_sensitivity,results/published/m02_soft_composite/feature_revision,,
variant:consumer_implicit_only,model_variant,consumer_implicit_only,sensitivity,feature_revision,retained_historical_sensitivity,results/published/m02_soft_composite/feature_revision,,
variant:consumer_legacy,model_variant,consumer_legacy,sensitivity,feature_revision,retained_historical_sensitivity,results/published/m02_soft_composite/feature_revision,,
variant:consumer_none,model_variant,consumer_none,sensitivity,feature_revision,retained_historical_sensitivity,results/published/m02_soft_composite/feature_revision,,
variant:consumer_real_implicit_joint_only,model_variant,consumer_real_implicit_joint_only,sensitivity,feature_revision,retained_historical_sensitivity,results/published/m02_soft_composite/feature_revision,,
variant:consumer_real_only,model_variant,consumer_real_only,sensitivity,feature_revision,retained_historical_sensitivity,results/published/m02_soft_composite/feature_revision,,
variant:consumer_revised_full,model_variant,consumer_revised_full,sensitivity,feature_revision,retained_historical_sensitivity,results/published/m02_soft_composite/feature_revision,,
variant:consumer_vehicle_only,model_variant,consumer_vehicle_only,sensitivity,feature_revision,retained_historical_sensitivity,results/published/m02_soft_composite/feature_revision,,
variant:consumer_without_implicit,model_variant,consumer_without_implicit,sensitivity,feature_revision,retained_historical_sensitivity,results/published/m02_soft_composite/feature_revision,,
variant:consumer_without_real,model_variant,consumer_without_real,sensitivity,feature_revision,retained_historical_sensitivity,results/published/m02_soft_composite/feature_revision,,
variant:price_import,model_variant,price_import,sensitivity,feature_revision,retained_historical_sensitivity,results/published/m02_soft_composite/feature_revision,,
variant:structural_reduced_input,model_variant,structural_reduced_input,sensitivity,feature_revision,retained_historical_sensitivity,results/published/m02_soft_composite/feature_revision,,
variant:structural_reduced_no_price,model_variant,structural_reduced_no_price,sensitivity,feature_revision,retained_historical_sensitivity,results/published/m02_soft_composite/feature_revision,,
