artifact,check,column,current,frozen,maximum_absolute_difference,passed
evaluation_rows,row_count,,752,752,0.0,True
evaluation_rows,column_set,,availability_date|evaluation_checkpoint|forecast_as_of_date|forecast_hard_quadrant|forecast_mapping_reference_month|forecast_probability_growth_down_inflation_down|forecast_probability_growth_down_inflation_up|forecast_probability_growth_up_inflation_down|forecast_probability_growth_up_inflation_up|growth_error|growth_squared_error|hard_quadrant_correct|inflation_error|inflation_squared_error|quadrant_brier_distance_to_exact_score_map|quadrant_cross_entropy_to_exact_score_map|quadrant_kl_divergence_to_exact_score_map|reference_month|same_day_release_evidence_included|score_center_negative_log_predictive_density|target_hard_quadrant|target_mapping_reference_month|target_probability_growth_down_inflation_down|target_probability_growth_down_inflation_up|target_probability_growth_up_inflation_down|target_probability_growth_up_inflation_up,availability_date|evaluation_checkpoint|forecast_as_of_date|forecast_hard_quadrant|forecast_mapping_reference_month|forecast_probability_growth_down_inflation_down|forecast_probability_growth_down_inflation_up|forecast_probability_growth_up_inflation_down|forecast_probability_growth_up_inflation_up|growth_error|growth_squared_error|hard_quadrant_correct|inflation_error|inflation_squared_error|quadrant_brier_distance_to_exact_score_map|quadrant_cross_entropy_to_exact_score_map|quadrant_kl_divergence_to_exact_score_map|reference_month|same_day_release_evidence_included|score_center_negative_log_predictive_density|target_hard_quadrant|target_mapping_reference_month|target_probability_growth_down_inflation_down|target_probability_growth_down_inflation_up|target_probability_growth_up_inflation_down|target_probability_growth_up_inflation_up,0.0,True
evaluation_rows,column_values,availability_date,,,0.0,True
evaluation_rows,column_values,evaluation_checkpoint,,,0.0,True
evaluation_rows,column_values,forecast_as_of_date,,,0.0,True
evaluation_rows,column_values,forecast_hard_quadrant,,,0.0,True
evaluation_rows,column_values,forecast_mapping_reference_month,,,0.0,True
evaluation_rows,column_values,forecast_probability_growth_down_inflation_down,,,0.0,True
evaluation_rows,column_values,forecast_probability_growth_down_inflation_up,,,0.0,True
evaluation_rows,column_values,forecast_probability_growth_up_inflation_down,,,0.0,True
evaluation_rows,column_values,forecast_probability_growth_up_inflation_up,,,0.0,True
evaluation_rows,column_values,growth_error,,,0.0,True
evaluation_rows,column_values,growth_squared_error,,,0.0,True
evaluation_rows,column_values,hard_quadrant_correct,,,0.0,True
evaluation_rows,column_values,inflation_error,,,0.0,True
evaluation_rows,column_values,inflation_squared_error,,,0.0,True
evaluation_rows,column_values,quadrant_brier_distance_to_exact_score_map,,,0.0,True
evaluation_rows,column_values,quadrant_cross_entropy_to_exact_score_map,,,0.0,True
evaluation_rows,column_values,quadrant_kl_divergence_to_exact_score_map,,,0.0,True
evaluation_rows,column_values,reference_month,,,0.0,True
evaluation_rows,column_values,same_day_release_evidence_included,,,0.0,True
evaluation_rows,column_values,score_center_negative_log_predictive_density,,,0.0,True
evaluation_rows,column_values,target_hard_quadrant,,,0.0,True
evaluation_rows,column_values,target_mapping_reference_month,,,0.0,True
evaluation_rows,column_values,target_probability_growth_down_inflation_down,,,0.0,True
evaluation_rows,column_values,target_probability_growth_down_inflation_up,,,0.0,True
evaluation_rows,column_values,target_probability_growth_up_inflation_down,,,0.0,True
evaluation_rows,column_values,target_probability_growth_up_inflation_up,,,0.0,True
event_update_audit,row_count,,1406,1406,0.0,True
event_update_audit,column_set,,approximate_log_predictive_density|emission_family|event_instance_id|event_weight|fit_status|gaussian_moment_log_predictive_density|mahalanobis_squared|observation_model_id|observed_responses|profile_id|raw_event_weight|reference_month|release_date|selected_base_lambda|selected_degrees_of_freedom|selection_status|training_count|update_status|weight_state_cutoff,approximate_log_predictive_density|emission_family|event_instance_id|event_weight|fit_status|gaussian_moment_log_predictive_density|mahalanobis_squared|observation_model_id|observed_responses|profile_id|raw_event_weight|reference_month|release_date|selected_base_lambda|selected_degrees_of_freedom|selection_status|training_count|update_status|weight_state_cutoff,0.0,True
event_update_audit,column_values,approximate_log_predictive_density,,,0.0,True
event_update_audit,column_values,emission_family,,,0.0,True
event_update_audit,column_values,event_instance_id,,,0.0,True
event_update_audit,column_values,event_weight,,,0.0,True
event_update_audit,column_values,fit_status,,,0.0,True
event_update_audit,column_values,gaussian_moment_log_predictive_density,,,0.0,True
event_update_audit,column_values,mahalanobis_squared,,,0.0,True
event_update_audit,column_values,observation_model_id,,,0.0,True
