evaluation_sample,filter_variant,comparison_reference,evaluation_checkpoint,metric,better_direction,paired_months,mean_candidate_minus_baseline,bootstrap_confidence_level,bootstrap_lower,bootstrap_upper,bootstrap_probability_candidate_better,centered_two_sided_p_value,block_length_months,replications,random_seed,holm_family_member,holm_adjusted_p_value
excluding_2020_03_through_2020_05,candidate_all_six,student_t_7_combined,after_employment_situation,hard_quadrant_correct,higher,180,-0.03888888888888889,0.95,-0.08333333333333333,-0.005555555555555556,0.007,0.055188962207558485,12,5000,20260722,False,
excluding_2020_03_through_2020_05,priority_01_surveys,student_t_7_combined,after_employment_situation,hard_quadrant_correct,higher,180,-0.016666666666666666,0.95,-0.05,0.011111111111111112,0.086,0.28654269146170763,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_02_claims,student_t_7_combined,after_employment_situation,hard_quadrant_correct,higher,180,0.0,0.95,-0.022222222222222223,0.022222222222222223,0.4208,1.0,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_03_consumer,student_t_7_combined,after_employment_situation,hard_quadrant_correct,higher,180,-0.005555555555555556,0.95,-0.03333333333333333,0.022222222222222223,0.2756,0.7086582683463307,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_04_housing,student_t_7_combined,after_employment_situation,hard_quadrant_correct,higher,180,0.0,0.95,0.0,0.0,0.0,1.0,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_05_import_prices,student_t_7_combined,after_employment_situation,hard_quadrant_correct,higher,180,0.0,0.95,0.0,0.0,0.0,1.0,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_06_backlog,student_t_7_combined,after_employment_situation,hard_quadrant_correct,higher,180,0.0,0.95,0.0,0.0,0.0,1.0,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,candidate_all_six,student_t_7_combined,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,0.007475531873334708,0.95,0.0014571934607454664,0.014462607560375006,0.0012,0.020795840831833633,12,5000,20260722,False,
excluding_2020_03_through_2020_05,priority_01_surveys,student_t_7_combined,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,0.007086961891758733,0.95,0.0016426048507203396,0.01347810694099913,0.0002,0.017996400719856028,12,5000,20260722,True,0.10797840431913616
excluding_2020_03_through_2020_05,priority_02_claims,student_t_7_combined,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,-0.0001476696652092929,0.95,-0.0005823046239557647,0.00024370756331241176,0.7632,0.46910617876424715,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_03_consumer,student_t_7_combined,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,-0.0003329131857880518,0.95,-0.0013387685315784405,0.0005301012878485471,0.7376,0.48670265946810637,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_04_housing,student_t_7_combined,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,-1.0218665946353055e-06,0.95,-2.8212662966684247e-06,2.1027825037309504e-08,0.9464,0.15096980603879223,12,5000,20260722,True,0.7548490301939612
excluding_2020_03_through_2020_05,priority_05_import_prices,student_t_7_combined,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,-4.7993369592713475e-05,0.95,-0.00016773405940529755,2.46713989458668e-05,0.708,0.5022995400919816,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_06_backlog,student_t_7_combined,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,6.23300286866273e-06,0.95,-6.06968646598314e-09,1.6860539964712687e-05,0.095,0.21055788842231554,12,5000,20260722,True,0.8422315536892622
excluding_2020_03_through_2020_05,candidate_all_six,student_t_7_combined,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,0.012504119747296781,0.95,7.578243103040316e-05,0.027211373455838763,0.024,0.07018596280743851,12,5000,20260722,False,
excluding_2020_03_through_2020_05,priority_01_surveys,student_t_7_combined,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,0.011759395399595876,0.95,0.0006686102880563519,0.025383794064259595,0.0126,0.054989002199560086,12,5000,20260722,True,0.3299340131973605
excluding_2020_03_through_2020_05,priority_02_claims,student_t_7_combined,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,-0.000274981590559518,0.95,-0.0008674367213552229,0.00022844389895934156,0.8354,0.3271345730853829,12,5000,20260722,True,0.9814037192561487
excluding_2020_03_through_2020_05,priority_03_consumer,student_t_7_combined,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,-0.0007191904079013092,0.95,-0.0027222113251134084,0.0007800997912543165,0.7762,0.4319136172765447,12,5000,20260722,True,0.9814037192561487
excluding_2020_03_through_2020_05,priority_04_housing,student_t_7_combined,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,-1.8896682372750625e-06,0.95,-5.390701319029611e-06,1.1982163377709994e-07,0.963,0.14777044591081784,12,5000,20260722,True,0.7388522295540891
excluding_2020_03_through_2020_05,priority_05_import_prices,student_t_7_combined,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,-9.153093994320461e-05,0.95,-0.00032195093333395477,5.836645751972065e-05,0.6998,0.5342931413717257,12,5000,20260722,True,0.9814037192561487
excluding_2020_03_through_2020_05,priority_06_backlog,student_t_7_combined,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,1.2517356917382846e-05,0.95,-1.3208811104660946e-08,3.561234949044142e-05,0.1054,0.22455508898220355,12,5000,20260722,True,0.8982203559288142
excluding_2020_03_through_2020_05,candidate_all_six,student_t_7_combined,after_employment_situation,score_center_negative_log_predictive_density,lower,180,0.0044006836814981555,0.95,-0.055760161524891404,0.060802776171899664,0.4278,0.8748250349930013,12,5000,20260722,False,
excluding_2020_03_through_2020_05,priority_01_surveys,student_t_7_combined,after_employment_situation,score_center_negative_log_predictive_density,lower,180,0.006280477764584215,0.95,-0.04827903207473475,0.05700953951737578,0.4032,0.8094381123775245,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_02_claims,student_t_7_combined,after_employment_situation,score_center_negative_log_predictive_density,lower,180,-0.0034024256329868423,0.95,-0.008467758364718974,0.002575788664843201,0.8886,0.21495700859828035,12,5000,20260722,True,0.8094381123775245
excluding_2020_03_through_2020_05,priority_03_consumer,student_t_7_combined,after_employment_situation,score_center_negative_log_predictive_density,lower,180,-0.004959391933238702,0.95,-0.012097241907728236,-9.56152859212561e-05,0.9772,0.09378124375124974,12,5000,20260722,True,0.5626874625074985
excluding_2020_03_through_2020_05,priority_04_housing,student_t_7_combined,after_employment_situation,score_center_negative_log_predictive_density,lower,180,-5.230198497196892e-06,0.95,-1.4272784507275186e-05,1.0972982805689986e-09,0.9744,0.131373725254949,12,5000,20260722,True,0.656868626274745
excluding_2020_03_through_2020_05,priority_05_import_prices,student_t_7_combined,after_employment_situation,score_center_negative_log_predictive_density,lower,180,-0.000378249048605172,0.95,-0.00130637959293366,0.00014398093410781328,0.7102,0.501499700059988,12,5000,20260722,True,1.0
