filter_variant,model_role,comparison_reference,reference_model_role,comparison_scope,evaluation_checkpoint,paired_months,first_paired_month,last_paired_month,mean_delta_score_center_negative_log_predictive_density,mean_delta_growth_squared_error,mean_delta_inflation_squared_error,mean_delta_quadrant_cross_entropy_to_exact_score_map,mean_delta_quadrant_brier_distance_to_exact_score_map,mean_delta_quadrant_kl_divergence_to_exact_score_map,mean_delta_hard_quadrant_correct
student_t_7_combined,baseline,partial_only,major_benchmark,baseline_vs_major_benchmark,after_employment_situation,183,2011-01-01,2026-05-01,-0.05206711022280236,-0.16773503430262282,0.0009244431461573415,-0.00011396190254136314,-4.68397617380768e-06,-0.00011396190254136576,0.00546448087431694
student_t_7_combined,baseline,partial_only,major_benchmark,baseline_vs_major_benchmark,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-0.08626015344871983,-0.0661489224367748,0.005275231048826987,0.0004247990103952772,0.00016882757347300552,0.00042479901039525536,-0.0546448087431694
student_t_7_combined,baseline,partial_only,major_benchmark,baseline_vs_major_benchmark,before_any_defining_release,183,2011-01-01,2026-05-01,-0.06579736741218194,-0.4198546380472032,-0.004987092769712893,-0.0010196889495896159,6.717582423814611e-05,-0.0010196889495896141,0.01092896174863388
student_t_7_combined,baseline,partial_only,major_benchmark,baseline_vs_major_benchmark,strict_pre_final_score_day,183,2011-01-01,2026-05-01,-0.114449094858861,-0.10436453171873282,0.007720920913534351,0.0019050634872565897,0.0009091532347252712,0.0019050634872566008,-0.06557377049180328
student_t_7_combined,baseline,transition_only,major_benchmark,baseline_vs_major_benchmark,after_employment_situation,183,2011-01-01,2026-05-01,-19.31201735537945,-14.171307785399172,-0.13734858999664645,-0.10158208571358392,-0.04865230171860797,-0.10158208571358392,0.16939890710382513
student_t_7_combined,baseline,transition_only,major_benchmark,baseline_vs_major_benchmark,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-21.17147596912614,-16.41628860405655,-0.30249207312083604,-0.23676110563558245,-0.11747581840168796,-0.23676110563558248,0.4262295081967213
student_t_7_combined,baseline,transition_only,major_benchmark,baseline_vs_major_benchmark,before_any_defining_release,183,2011-01-01,2026-05-01,-0.06650053006959106,-0.4161130289547797,-0.005289095845005452,0.0006580849334114188,0.0009780298832261314,0.0006580849334114209,0.01092896174863388
student_t_7_combined,baseline,transition_only,major_benchmark,baseline_vs_major_benchmark,strict_pre_final_score_day,183,2011-01-01,2026-05-01,-21.197909919639617,-16.4538974927348,-0.29976840127365234,-0.23430121132522957,-0.11625981508623047,-0.23430121132522957,0.4098360655737705
candidate_all_six,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,after_employment_situation,183,2011-01-01,2026-05-01,4.844954369499354,1.1758033297293513,-0.0026077143099465135,0.012376141887192106,0.007410248787776118,0.012376141887192108,-0.03825136612021858
candidate_all_six,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,3.167427903203316,0.42549026900862114,0.0020934606359601328,0.011002672603803828,0.006038797723460237,0.011002672603803903,-0.03825136612021858
