variant_id,observation_model_id,audit_rows,applied_updates,fit_errors,median_event_weight,selected_long_rows,live_event_vectors,training_candidates,training_vector_policy,excluded_incomplete_response,excluded_incomplete_control,excluded_score_unavailable,first_live_release,last_live_release,first_target_month,last_target_month,variants_using_model
candidate_all_six,business_investment_backlog,190,130,57,0.9710052039582823,416,259,155,monthly_reference_vector_max_availability,102,0,2,2004-12-23,2026-06-25,2004-11-01,2026-05-01,priority_06_backlog|candidate_all_six
candidate_all_six,consumer_retail_ex_auto_gas,74,50,24,1.1366245636219003,74,74,71,monthly_reference_vector_max_availability,0,0,3,2020-06-16,2026-07-16,2020-05-01,2026-06-01,priority_03_consumer|candidate_all_six
candidate_all_six,consumer_vehicle_units,138,114,24,1.0915769543030711,138,138,135,monthly_reference_vector_max_availability,0,0,3,2015-02-04,2026-07-03,2015-01-01,2026-06-01,priority_03_consumer|candidate_all_six
candidate_all_six,housing_new_home_sales,189,122,36,1.0390625753503713,820,298,164,monthly_reference_vector_max_availability,0,132,2,2001-08-24,2026-06-24,2001-07-01,2026-05-01,priority_04_housing|candidate_all_six
candidate_all_six,housing_single_family_construction,192,130,36,1.0084141034670304,1010,314,164,monthly_reference_vector_max_availability,139,6,3,2000-07-20,2026-07-17,2000-06-01,2026-06-01,priority_04_housing|candidate_all_six
candidate_all_six,inflation_expectations,29,3,26,0.8010734674140472,29,29,26,monthly_reference_vector_max_availability,0,0,3,2024-02-13,2026-07-14,2024-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
candidate_all_six,inflation_import_prices,171,147,24,1.022604612216626,171,171,169,monthly_reference_vector_max_availability,0,0,2,2012-04-11,2026-07-17,2012-03-01,2026-06-01,priority_05_import_prices|candidate_all_six
candidate_all_six,inflation_input_costs,76,40,36,1.1028376618230427,76,76,73,monthly_reference_vector_max_availability,0,0,3,2020-04-09,2026-07-15,2020-03-01,2026-06-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
candidate_all_six,manufacturing_empire_state,124,99,25,1.0161901317438278,248,124,120,monthly_reference_vector_max_availability,0,0,4,2016-04-15,2026-07-15,2016-04-01,2026-07-01,priority_01_empire_only|priority_01_surveys|candidate_all_six
candidate_all_six,manufacturing_philadelphia,110,85,25,1.0374226876088275,220,110,106,monthly_reference_vector_max_availability,0,0,4,2017-06-15,2026-07-16,2017-06-01,2026-07-01,priority_01_philadelphia_only|priority_01_surveys|candidate_all_six
candidate_all_six,monthly_labor_demand,132,14,36,1.0876371420359636,528,132,130,monthly_reference_vector_max_availability,0,0,2,2015-08-12,2026-06-30,2015-06-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
candidate_all_six,weekly_continued_claims,597,491,106,1.1164259256518827,597,597,583,event_level_repeated_monthly_target,0,0,14,2015-02-12,2026-07-16,2015-01-01,2026-07-01,priority_02_claims|candidate_all_six
candidate_all_six,weekly_labor_stress,597,490,107,1.104858468733016,597,597,582,event_level_repeated_monthly_target,0,0,15,2015-02-12,2026-07-16,2015-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_01_empire_only,business_investment,190,82,105,1.0527603094269231,380,259,119,monthly_reference_vector_max_availability,138,0,2,2004-12-23,2026-06-25,2004-11-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices
priority_01_empire_only,consumer_demand,191,182,9,1.147803778241345,484,242,239,monthly_reference_vector_max_availability,0,0,3,2006-06-13,2026-07-16,2006-05-01,2026-06-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_04_housing|priority_05_import_prices|priority_06_backlog
priority_01_empire_only,housing_activity,191,129,36,1.0556210577660072,907,296,164,monthly_reference_vector_max_availability,37,91,2,2001-12-18,2026-06-16,2001-11-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_05_import_prices|priority_06_backlog
priority_01_empire_only,inflation_expectations,29,3,26,0.8012438579149624,29,29,26,monthly_reference_vector_max_availability,0,0,3,2024-02-13,2026-07-14,2024-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_01_empire_only,inflation_input_costs,76,40,36,1.098133866546783,76,76,73,monthly_reference_vector_max_availability,0,0,3,2020-04-09,2026-07-15,2020-03-01,2026-06-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_01_empire_only,manufacturing_empire_state,124,99,25,1.0043187479635367,248,124,120,monthly_reference_vector_max_availability,0,0,4,2016-04-15,2026-07-15,2016-04-01,2026-07-01,priority_01_empire_only|priority_01_surveys|candidate_all_six
priority_01_empire_only,monthly_labor_demand,132,14,36,1.087661724848925,528,132,130,monthly_reference_vector_max_availability,0,0,2,2015-08-12,2026-06-30,2015-06-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_01_empire_only,weekly_labor_stress,597,490,107,1.1051488582881241,597,597,582,event_level_repeated_monthly_target,0,0,15,2015-02-12,2026-07-16,2015-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_01_philadelphia_only,business_investment,190,82,105,1.0546050488300782,380,259,119,monthly_reference_vector_max_availability,138,0,2,2004-12-23,2026-06-25,2004-11-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices
priority_01_philadelphia_only,consumer_demand,191,182,9,1.147673735089895,484,242,239,monthly_reference_vector_max_availability,0,0,3,2006-06-13,2026-07-16,2006-05-01,2026-06-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_04_housing|priority_05_import_prices|priority_06_backlog
priority_01_philadelphia_only,housing_activity,191,129,36,1.0553312165352573,907,296,164,monthly_reference_vector_max_availability,37,91,2,2001-12-18,2026-06-16,2001-11-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_05_import_prices|priority_06_backlog
priority_01_philadelphia_only,inflation_expectations,29,3,26,0.8010204849959235,29,29,26,monthly_reference_vector_max_availability,0,0,3,2024-02-13,2026-07-14,2024-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_01_philadelphia_only,inflation_input_costs,76,40,36,1.0971176322039429,76,76,73,monthly_reference_vector_max_availability,0,0,3,2020-04-09,2026-07-15,2020-03-01,2026-06-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_01_philadelphia_only,manufacturing_philadelphia,110,85,25,0.9945558605490535,220,110,106,monthly_reference_vector_max_availability,0,0,4,2017-06-15,2026-07-16,2017-06-01,2026-07-01,priority_01_philadelphia_only|priority_01_surveys|candidate_all_six
priority_01_philadelphia_only,monthly_labor_demand,132,14,36,1.0876598283427532,528,132,130,monthly_reference_vector_max_availability,0,0,2,2015-08-12,2026-06-30,2015-06-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_01_philadelphia_only,weekly_labor_stress,597,490,107,1.1049030163213571,597,597,582,event_level_repeated_monthly_target,0,0,15,2015-02-12,2026-07-16,2015-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_01_surveys,business_investment,190,82,105,1.0554200811264713,380,259,119,monthly_reference_vector_max_availability,138,0,2,2004-12-23,2026-06-25,2004-11-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices
priority_01_surveys,consumer_demand,191,182,9,1.1429378759799191,484,242,239,monthly_reference_vector_max_availability,0,0,3,2006-06-13,2026-07-16,2006-05-01,2026-06-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_04_housing|priority_05_import_prices|priority_06_backlog
priority_01_surveys,housing_activity,191,129,36,1.0552844925901623,907,296,164,monthly_reference_vector_max_availability,37,91,2,2001-12-18,2026-06-16,2001-11-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_05_import_prices|priority_06_backlog
priority_01_surveys,inflation_expectations,29,3,26,0.8010725904052806,29,29,26,monthly_reference_vector_max_availability,0,0,3,2024-02-13,2026-07-14,2024-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_01_surveys,inflation_input_costs,76,40,36,1.1006922051945285,76,76,73,monthly_reference_vector_max_availability,0,0,3,2020-04-09,2026-07-15,2020-03-01,2026-06-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
