display_order,variant_id,model_role,enabled,non_defining_evidence,partial_defining_releases,emission_family,var_method,retail_method,evidence_set_id
0,transition_only,major_benchmark,True,False,False,gaussian,ols,baseline_nominal,none
1,partial_only,major_benchmark,True,False,True,gaussian,ols,baseline_nominal,none
2,student_t_7_combined,baseline,True,True,True,student_t_7,ols,baseline_nominal,all_current
3,add_one_weekly_labor_stress,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,only_weekly_labor_stress
4,add_one_monthly_labor_demand,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,only_monthly_labor_demand
5,add_one_consumer_demand,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,only_consumer_demand
6,add_one_housing_activity,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,only_housing_activity
7,add_one_business_investment,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,only_business_investment
8,add_one_inflation_expectations,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,only_inflation_expectations
9,add_one_inflation_input_costs,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,only_inflation_input_costs
10,leave_one_out_weekly_labor_stress,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,without_weekly_labor_stress
11,leave_one_out_monthly_labor_demand,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,without_monthly_labor_demand
12,leave_one_out_consumer_demand,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,without_consumer_demand
13,leave_one_out_housing_activity,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,without_housing_activity
14,leave_one_out_business_investment,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,without_business_investment
15,leave_one_out_inflation_expectations,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,without_inflation_expectations
16,leave_one_out_inflation_input_costs,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,without_inflation_input_costs
17,add_inflation_pressure_pair,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,only_inflation_pressure_pair
18,leave_out_inflation_pressure_pair,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,without_inflation_pressure_pair
