comparison_id,candidate_id,reference_id,block_id,experiment_arm,primary_atomic,comparison_scope,evaluation_checkpoint,paired_months,first_paired_month,last_paired_month,mean_delta_score_center_negative_log_predictive_density,median_delta_score_center_negative_log_predictive_density,mean_block_benefit_score_center_negative_log_predictive_density,mean_delta_quadrant_cross_entropy_to_exact_score_map,median_delta_quadrant_cross_entropy_to_exact_score_map,mean_block_benefit_quadrant_cross_entropy_to_exact_score_map,mean_delta_quadrant_brier_distance_to_exact_score_map,median_delta_quadrant_brier_distance_to_exact_score_map,mean_block_benefit_quadrant_brier_distance_to_exact_score_map,mean_delta_hard_quadrant_correct,median_delta_hard_quadrant_correct,mean_block_benefit_hard_quadrant_correct
add_one_weekly_labor_stress__vs__partial_only,add_one_weekly_labor_stress,partial_only,weekly_labor_stress,add_one,True,full_common_calendar,after_employment_situation,183,2011-01-01,2026-05-01,-0.05208131548668054,0.0,0.05208131548668054,-0.00012045996696783357,0.0,0.00012045996696783357,-6.70451225266753e-06,0.0,6.70451225266753e-06,0.01092896174863388,0.0,0.01092896174863388
add_one_weekly_labor_stress__vs__partial_only,add_one_weekly_labor_stress,partial_only,weekly_labor_stress,add_one,True,full_common_calendar,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-0.017378739947145297,0.0,0.017378739947145297,8.237997138137066e-05,0.0,-8.237997138137066e-05,7.49928605838873e-05,0.0,-7.49928605838873e-05,-0.00546448087431694,0.0,-0.00546448087431694
add_one_weekly_labor_stress__vs__partial_only,add_one_weekly_labor_stress,partial_only,weekly_labor_stress,add_one,True,full_common_calendar,before_any_defining_release,183,2011-01-01,2026-05-01,-0.06578560070548639,0.0,0.06578560070548639,-0.0010180337529339734,0.0,0.0010180337529339734,6.852935705573427e-05,0.0,-6.852935705573427e-05,0.01092896174863388,0.0,0.01092896174863388
add_one_weekly_labor_stress__vs__partial_only,add_one_weekly_labor_stress,partial_only,weekly_labor_stress,add_one,True,full_common_calendar,strict_pre_final_score_day,183,2011-01-01,2026-05-01,-0.022731143948128363,0.0,0.022731143948128363,9.082720791469797e-05,0.0,-9.082720791469797e-05,6.935804367257085e-05,0.0,-6.935804367257085e-05,-0.01092896174863388,0.0,-0.01092896174863388
add_one_weekly_labor_stress__vs__partial_only,add_one_weekly_labor_stress,partial_only,weekly_labor_stress,add_one,True,descriptive_active_reference_months,after_employment_situation,110,2017-02-01,2026-05-01,-0.08664437030965944,-0.0037706673057886775,0.08664437030965944,-0.00020040158141012312,3.710986200000679e-06,0.00020040158141012312,-1.1153870383983203e-05,7.2338208965696225e-06,1.1153870383983203e-05,0.01818181818181818,0.0,0.01818181818181818
add_one_weekly_labor_stress__vs__partial_only,add_one_weekly_labor_stress,partial_only,weekly_labor_stress,add_one,True,descriptive_active_reference_months,after_midmonth_defining_releases,110,2017-02-01,2026-05-01,-0.028911903730250817,-0.0006970187402558503,0.028911903730250817,0.0001370503160253712,-1.9857890770635933e-07,-0.0001370503160253712,0.00012476084988046705,-1.2459535225742453e-06,-0.00012476084988046705,-0.00909090909090909,0.0,-0.00909090909090909
add_one_weekly_labor_stress__vs__partial_only,add_one_weekly_labor_stress,partial_only,weekly_labor_stress,add_one,True,descriptive_active_reference_months,before_any_defining_release,110,2017-02-01,2026-05-01,-0.10944331753730915,-0.030302026634137613,0.10944331753730915,-0.0016936379707901557,0.00012592972911484868,0.0016936379707901557,0.00011400793037453996,0.00010776843312605353,-0.00011400793037453996,0.01818181818181818,0.0,0.01818181818181818
add_one_weekly_labor_stress__vs__partial_only,add_one_weekly_labor_stress,partial_only,weekly_labor_stress,add_one,True,descriptive_active_reference_months,strict_pre_final_score_day,110,2017-02-01,2026-05-01,-0.03781635765915899,-0.0007257631913050178,0.03781635765915899,0.00015110344589445206,3.543339901490583e-06,-0.00015110344589445206,0.00011538656356436791,3.552913758155061e-06,-0.00011538656356436791,-0.01818181818181818,0.0,-0.01818181818181818
leave_one_out_weekly_labor_stress__vs__student_t_7_combined,leave_one_out_weekly_labor_stress,student_t_7_combined,weekly_labor_stress,leave_one_out,True,full_common_calendar,after_employment_situation,183,2011-01-01,2026-05-01,0.052092113757528716,0.0,0.052092113757528716,0.0001216402358499649,0.0,0.0001216402358499649,7.021055951787405e-06,0.0,7.021055951787405e-06,-0.00546448087431694,0.0,0.00546448087431694
leave_one_out_weekly_labor_stress__vs__student_t_7_combined,leave_one_out_weekly_labor_stress,student_t_7_combined,weekly_labor_stress,leave_one_out,True,full_common_calendar,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,0.016758276120966777,0.0,0.016758276120966777,-9.819617163258125e-05,0.0,-9.819617163258125e-05,-0.00010757808804286966,0.0,-0.00010757808804286966,0.01092896174863388,0.0,-0.01092896174863388
