variant_id,observation_model_id,audit_rows,applied_updates,fit_errors,median_event_weight,selected_long_rows,live_event_vectors,training_candidates,training_vector_policy,excluded_incomplete_response,excluded_incomplete_control,excluded_score_unavailable,first_live_release,last_live_release,first_target_month,last_target_month,variants_using_model
add_inflation_pressure_pair,inflation_expectations,29,3,26,0.8012272283154096,29,29,26,monthly_reference_vector_max_availability,0,0,3,2024-02-13,2026-07-14,2024-02-01,2026-07-01,student_t_7_combined|add_one_inflation_expectations|leave_one_out_weekly_labor_stress|leave_one_out_monthly_labor_demand|leave_one_out_consumer_demand|leave_one_out_housing_activity|leave_one_out_business_investment|leave_one_out_inflation_input_costs|add_inflation_pressure_pair
add_inflation_pressure_pair,inflation_input_costs,76,40,36,1.0956987197805632,76,76,73,monthly_reference_vector_max_availability,0,0,3,2020-04-09,2026-07-15,2020-03-01,2026-06-01,student_t_7_combined|add_one_inflation_input_costs|leave_one_out_weekly_labor_stress|leave_one_out_monthly_labor_demand|leave_one_out_consumer_demand|leave_one_out_housing_activity|leave_one_out_business_investment|leave_one_out_inflation_expectations|add_inflation_pressure_pair
add_one_business_investment,business_investment,190,82,105,1.0560393883349535,380,259,119,monthly_reference_vector_max_availability,138,0,2,2004-12-23,2026-06-25,2004-11-01,2026-05-01,student_t_7_combined|add_one_business_investment|leave_one_out_weekly_labor_stress|leave_one_out_monthly_labor_demand|leave_one_out_consumer_demand|leave_one_out_housing_activity|leave_one_out_inflation_expectations|leave_one_out_inflation_input_costs|leave_out_inflation_pressure_pair
add_one_consumer_demand,consumer_demand,191,182,9,1.1420794241619578,484,242,239,monthly_reference_vector_max_availability,0,0,3,2006-06-13,2026-07-16,2006-05-01,2026-06-01,student_t_7_combined|add_one_consumer_demand|leave_one_out_weekly_labor_stress|leave_one_out_monthly_labor_demand|leave_one_out_housing_activity|leave_one_out_business_investment|leave_one_out_inflation_expectations|leave_one_out_inflation_input_costs|leave_out_inflation_pressure_pair
add_one_housing_activity,housing_activity,191,129,36,1.0578653492506174,907,296,164,monthly_reference_vector_max_availability,37,91,2,2001-12-18,2026-06-16,2001-11-01,2026-05-01,student_t_7_combined|add_one_housing_activity|leave_one_out_weekly_labor_stress|leave_one_out_monthly_labor_demand|leave_one_out_consumer_demand|leave_one_out_business_investment|leave_one_out_inflation_expectations|leave_one_out_inflation_input_costs|leave_out_inflation_pressure_pair
add_one_inflation_expectations,inflation_expectations,29,3,26,0.8012272283154096,29,29,26,monthly_reference_vector_max_availability,0,0,3,2024-02-13,2026-07-14,2024-02-01,2026-07-01,student_t_7_combined|add_one_inflation_expectations|leave_one_out_weekly_labor_stress|leave_one_out_monthly_labor_demand|leave_one_out_consumer_demand|leave_one_out_housing_activity|leave_one_out_business_investment|leave_one_out_inflation_input_costs|add_inflation_pressure_pair
add_one_inflation_input_costs,inflation_input_costs,76,40,36,1.0956987197805632,76,76,73,monthly_reference_vector_max_availability,0,0,3,2020-04-09,2026-07-15,2020-03-01,2026-06-01,student_t_7_combined|add_one_inflation_input_costs|leave_one_out_weekly_labor_stress|leave_one_out_monthly_labor_demand|leave_one_out_consumer_demand|leave_one_out_housing_activity|leave_one_out_business_investment|leave_one_out_inflation_expectations|add_inflation_pressure_pair
add_one_monthly_labor_demand,monthly_labor_demand,132,14,36,1.0876536485465764,528,132,130,monthly_reference_vector_max_availability,0,0,2,2015-08-12,2026-06-30,2015-06-01,2026-05-01,student_t_7_combined|add_one_monthly_labor_demand|leave_one_out_weekly_labor_stress|leave_one_out_consumer_demand|leave_one_out_housing_activity|leave_one_out_business_investment|leave_one_out_inflation_expectations|leave_one_out_inflation_input_costs|leave_out_inflation_pressure_pair
add_one_weekly_labor_stress,weekly_labor_stress,597,490,107,1.1039307117492898,597,597,582,event_level_repeated_monthly_target,0,0,15,2015-02-12,2026-07-16,2015-02-01,2026-07-01,student_t_7_combined|add_one_weekly_labor_stress|leave_one_out_monthly_labor_demand|leave_one_out_consumer_demand|leave_one_out_housing_activity|leave_one_out_business_investment|leave_one_out_inflation_expectations|leave_one_out_inflation_input_costs|leave_out_inflation_pressure_pair
leave_one_out_business_investment,consumer_demand,191,182,9,1.142934021329595,484,242,239,monthly_reference_vector_max_availability,0,0,3,2006-06-13,2026-07-16,2006-05-01,2026-06-01,student_t_7_combined|add_one_consumer_demand|leave_one_out_weekly_labor_stress|leave_one_out_monthly_labor_demand|leave_one_out_housing_activity|leave_one_out_business_investment|leave_one_out_inflation_expectations|leave_one_out_inflation_input_costs|leave_out_inflation_pressure_pair
leave_one_out_business_investment,housing_activity,191,129,36,1.0556803999592452,907,296,164,monthly_reference_vector_max_availability,37,91,2,2001-12-18,2026-06-16,2001-11-01,2026-05-01,student_t_7_combined|add_one_housing_activity|leave_one_out_weekly_labor_stress|leave_one_out_monthly_labor_demand|leave_one_out_consumer_demand|leave_one_out_business_investment|leave_one_out_inflation_expectations|leave_one_out_inflation_input_costs|leave_out_inflation_pressure_pair
leave_one_out_business_investment,inflation_expectations,29,3,26,0.801223038236523,29,29,26,monthly_reference_vector_max_availability,0,0,3,2024-02-13,2026-07-14,2024-02-01,2026-07-01,student_t_7_combined|add_one_inflation_expectations|leave_one_out_weekly_labor_stress|leave_one_out_monthly_labor_demand|leave_one_out_consumer_demand|leave_one_out_housing_activity|leave_one_out_business_investment|leave_one_out_inflation_input_costs|add_inflation_pressure_pair
leave_one_out_business_investment,inflation_input_costs,76,40,36,1.0953738481157846,76,76,73,monthly_reference_vector_max_availability,0,0,3,2020-04-09,2026-07-15,2020-03-01,2026-06-01,student_t_7_combined|add_one_inflation_input_costs|leave_one_out_weekly_labor_stress|leave_one_out_monthly_labor_demand|leave_one_out_consumer_demand|leave_one_out_housing_activity|leave_one_out_business_investment|leave_one_out_inflation_expectations|add_inflation_pressure_pair
leave_one_out_business_investment,monthly_labor_demand,132,14,36,1.0876598283427532,528,132,130,monthly_reference_vector_max_availability,0,0,2,2015-08-12,2026-06-30,2015-06-01,2026-05-01,student_t_7_combined|add_one_monthly_labor_demand|leave_one_out_weekly_labor_stress|leave_one_out_consumer_demand|leave_one_out_housing_activity|leave_one_out_business_investment|leave_one_out_inflation_expectations|leave_one_out_inflation_input_costs|leave_out_inflation_pressure_pair
leave_one_out_business_investment,weekly_labor_stress,597,490,107,1.1039457751556432,597,597,582,event_level_repeated_monthly_target,0,0,15,2015-02-12,2026-07-16,2015-02-01,2026-07-01,student_t_7_combined|add_one_weekly_labor_stress|leave_one_out_monthly_labor_demand|leave_one_out_consumer_demand|leave_one_out_housing_activity|leave_one_out_business_investment|leave_one_out_inflation_expectations|leave_one_out_inflation_input_costs|leave_out_inflation_pressure_pair
leave_one_out_consumer_demand,business_investment,190,82,105,1.0569152753969717,380,259,119,monthly_reference_vector_max_availability,138,0,2,2004-12-23,2026-06-25,2004-11-01,2026-05-01,student_t_7_combined|add_one_business_investment|leave_one_out_weekly_labor_stress|leave_one_out_monthly_labor_demand|leave_one_out_consumer_demand|leave_one_out_housing_activity|leave_one_out_inflation_expectations|leave_one_out_inflation_input_costs|leave_out_inflation_pressure_pair
leave_one_out_consumer_demand,housing_activity,191,129,36,1.0576805590846732,907,296,164,monthly_reference_vector_max_availability,37,91,2,2001-12-18,2026-06-16,2001-11-01,2026-05-01,student_t_7_combined|add_one_housing_activity|leave_one_out_weekly_labor_stress|leave_one_out_monthly_labor_demand|leave_one_out_consumer_demand|leave_one_out_business_investment|leave_one_out_inflation_expectations|leave_one_out_inflation_input_costs|leave_out_inflation_pressure_pair
leave_one_out_consumer_demand,inflation_expectations,29,3,26,0.8012230383321262,29,29,26,monthly_reference_vector_max_availability,0,0,3,2024-02-13,2026-07-14,2024-02-01,2026-07-01,student_t_7_combined|add_one_inflation_expectations|leave_one_out_weekly_labor_stress|leave_one_out_monthly_labor_demand|leave_one_out_consumer_demand|leave_one_out_housing_activity|leave_one_out_business_investment|leave_one_out_inflation_input_costs|add_inflation_pressure_pair
leave_one_out_consumer_demand,inflation_input_costs,76,40,36,1.0953741383341082,76,76,73,monthly_reference_vector_max_availability,0,0,3,2020-04-09,2026-07-15,2020-03-01,2026-06-01,student_t_7_combined|add_one_inflation_input_costs|leave_one_out_weekly_labor_stress|leave_one_out_monthly_labor_demand|leave_one_out_consumer_demand|leave_one_out_housing_activity|leave_one_out_business_investment|leave_one_out_inflation_expectations|add_inflation_pressure_pair
leave_one_out_consumer_demand,monthly_labor_demand,132,14,36,1.0876497241237373,528,132,130,monthly_reference_vector_max_availability,0,0,2,2015-08-12,2026-06-30,2015-06-01,2026-05-01,student_t_7_combined|add_one_monthly_labor_demand|leave_one_out_weekly_labor_stress|leave_one_out_consumer_demand|leave_one_out_housing_activity|leave_one_out_business_investment|leave_one_out_inflation_expectations|leave_one_out_inflation_input_costs|leave_out_inflation_pressure_pair
leave_one_out_consumer_demand,weekly_labor_stress,597,490,107,1.1039307117478767,597,597,582,event_level_repeated_monthly_target,0,0,15,2015-02-12,2026-07-16,2015-02-01,2026-07-01,student_t_7_combined|add_one_weekly_labor_stress|leave_one_out_monthly_labor_demand|leave_one_out_consumer_demand|leave_one_out_housing_activity|leave_one_out_business_investment|leave_one_out_inflation_expectations|leave_one_out_inflation_input_costs|leave_out_inflation_pressure_pair
