evaluation_sample,comparison_id,candidate_id,reference_id,block_id,experiment_arm,primary_atomic,evaluation_checkpoint,metric,better_direction,paired_months,mean_candidate_minus_reference,median_candidate_minus_reference,bootstrap_lower,bootstrap_upper,bootstrap_probability_candidate_better,mean_block_benefit,block_benefit_lower,block_benefit_upper,bootstrap_probability_block_beneficial,centered_two_sided_p_value,block_length_months,calendar_segments,replications,random_seed,holm_adjusted_p_value_replacement_candidates
excluding_2020_03_through_2020_05,priority_03_consumer__vs__leave_one_out_consumer_demand,priority_03_consumer,leave_one_out_consumer_demand,consumer_demand,replacement_against_reduced_core,False,after_employment_situation,hard_quadrant_correct,higher,180,-0.011111111111111112,0.0,-0.044444444444444446,0.022222222222222223,0.2006,-0.011111111111111112,-0.044444444444444446,0.022222222222222223,0.2006,0.5092981403719257,12,2,5000,20260722,1.0
excluding_2020_03_through_2020_05,priority_04_housing__vs__leave_one_out_housing_activity,priority_04_housing,leave_one_out_housing_activity,housing_activity,replacement_against_reduced_core,False,after_employment_situation,hard_quadrant_correct,higher,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,2,5000,20260722,1.0
excluding_2020_03_through_2020_05,priority_06_backlog__vs__leave_one_out_business_investment,priority_06_backlog,leave_one_out_business_investment,business_investment,replacement_against_reduced_core,False,after_employment_situation,hard_quadrant_correct,higher,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,2,5000,20260722,1.0
excluding_2020_03_through_2020_05,priority_03_consumer__vs__leave_one_out_consumer_demand,priority_03_consumer,leave_one_out_consumer_demand,consumer_demand,replacement_against_reduced_core,False,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,-0.0003610567769663026,0.0,-0.0012289178773290707,0.0004420585058011647,0.7972,0.0003610567769663026,-0.0004420585058011647,0.00122891787732907,0.7972,0.4055188962207559,12,2,5000,20260722,0.4055188962207559
excluding_2020_03_through_2020_05,priority_04_housing__vs__leave_one_out_housing_activity,priority_04_housing,leave_one_out_housing_activity,housing_activity,replacement_against_reduced_core,False,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,-4.1576776376572653e-07,0.0,-1.0293978099042213e-06,-9.017195039277174e-10,0.9768,4.1576776376572653e-07,9.017195039277071e-10,1.0293978099042204e-06,0.9768,0.09578084383123375,12,2,5000,20260722,0.28734253149370126
excluding_2020_03_through_2020_05,priority_06_backlog__vs__leave_one_out_business_investment,priority_06_backlog,leave_one_out_business_investment,business_investment,replacement_against_reduced_core,False,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,4.265172165230258e-06,0.0,-1.6285311662959493e-09,1.1168931492124e-05,0.0666,-4.265172165230258e-06,-1.1168931492124e-05,1.628531166295949e-09,0.0666,0.17296540691861628,12,2,5000,20260722,0.34593081383723256
excluding_2020_03_through_2020_05,priority_03_consumer__vs__leave_one_out_consumer_demand,priority_03_consumer,leave_one_out_consumer_demand,consumer_demand,replacement_against_reduced_core,False,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,-0.0007756889217694768,0.0,-0.002551354992915813,0.000703965930619322,0.8112,0.0007756889217694768,-0.0007039659306193222,0.002551354992915812,0.8112,0.3755248950209958,12,2,5000,20260722,0.3755248950209958
excluding_2020_03_through_2020_05,priority_04_housing__vs__leave_one_out_housing_activity,priority_04_housing,leave_one_out_housing_activity,housing_activity,replacement_against_reduced_core,False,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,-8.258959054889702e-07,0.0,-2.0956052671886665e-06,6.546955073835353e-09,0.9678,8.258959054889702e-07,-6.546955073835545e-09,2.0956052671886665e-06,0.9678,0.1187762447510498,12,2,5000,20260722,0.35632873425314937
excluding_2020_03_through_2020_05,priority_06_backlog__vs__leave_one_out_business_investment,priority_06_backlog,leave_one_out_business_investment,business_investment,replacement_against_reduced_core,False,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,8.52353180618807e-06,0.0,-2.3960299096721493e-09,2.1654774865468037e-05,0.054,-8.52353180618807e-06,-2.1654774865468037e-05,2.3960299096721485e-09,0.054,0.14677064587082583,12,2,5000,20260722,0.35632873425314937
excluding_2020_03_through_2020_05,priority_03_consumer__vs__leave_one_out_consumer_demand,priority_03_consumer,leave_one_out_consumer_demand,consumer_demand,replacement_against_reduced_core,False,after_employment_situation,score_center_negative_log_predictive_density,lower,180,-0.005128668628874461,0.0,-0.010814842425530187,-0.000764323563553791,0.9928,0.005128668628874461,0.0007643235635537898,0.010814842425530184,0.9928,0.047190561887622474,12,2,5000,20260722,0.14157168566286743
excluding_2020_03_through_2020_05,priority_04_housing__vs__leave_one_out_housing_activity,priority_04_housing,leave_one_out_housing_activity,housing_activity,replacement_against_reduced_core,False,after_employment_situation,score_center_negative_log_predictive_density,lower,180,-2.626511043410616e-06,0.0,-6.944327706019649e-06,-1.8880696869447793e-08,0.983,2.626511043410616e-06,1.88806968694474e-08,6.944327706019648e-06,0.983,0.10797840431913618,12,2,5000,20260722,0.21595680863827235
excluding_2020_03_through_2020_05,priority_06_backlog__vs__leave_one_out_business_investment,priority_06_backlog,leave_one_out_business_investment,business_investment,replacement_against_reduced_core,False,after_employment_situation,score_center_negative_log_predictive_density,lower,180,2.362759151911269e-05,0.0,-7.574151173962397e-09,5.876707870811279e-05,0.0562,-2.362759151911269e-05,-5.876707870811279e-05,7.574151173962395e-09,0.0562,0.14557088582283542,12,2,5000,20260722,0.21595680863827235
excluding_2020_03_through_2020_05,priority_03_consumer__vs__leave_one_out_consumer_demand,priority_03_consumer,leave_one_out_consumer_demand,consumer_demand,replacement_against_reduced_core,False,after_midmonth_defining_releases,hard_quadrant_correct,higher,180,0.011111111111111112,0.0,-0.016666666666666666,0.03888888888888889,0.7202,0.011111111111111112,-0.016666666666666666,0.03888888888888889,0.7202,0.4389122175564887,12,2,5000,20260722,0.5282943411317736
excluding_2020_03_through_2020_05,priority_04_housing__vs__leave_one_out_housing_activity,priority_04_housing,leave_one_out_housing_activity,housing_activity,replacement_against_reduced_core,False,after_midmonth_defining_releases,hard_quadrant_correct,higher,180,-0.011111111111111112,0.0,-0.022222222222222223,0.0,0.0,-0.011111111111111112,-0.022222222222222223,0.0,0.0,0.09838032393521295,12,2,5000,20260722,0.29514097180563886
excluding_2020_03_through_2020_05,priority_06_backlog__vs__leave_one_out_business_investment,priority_06_backlog,leave_one_out_business_investment,business_investment,replacement_against_reduced_core,False,after_midmonth_defining_releases,hard_quadrant_correct,higher,180,-0.005555555555555556,0.0,-0.016666666666666666,0.0,0.0,-0.005555555555555556,-0.016666666666666666,0.0,0.0,0.2641471705658868,12,2,5000,20260722,0.5282943411317736
excluding_2020_03_through_2020_05,priority_03_consumer__vs__leave_one_out_consumer_demand,priority_03_consumer,leave_one_out_consumer_demand,consumer_demand,replacement_against_reduced_core,False,after_midmonth_defining_releases,quadrant_brier_distance_to_exact_score_map,lower,180,-0.0001423169892973152,0.0,-0.000385822030776231,0.0001032428663636643,0.866,0.0001423169892973152,-0.00010324286636366432,0.0003858220307762309,0.866,0.2735452909418116,12,2,5000,20260722,0.5470905818836233
excluding_2020_03_through_2020_05,priority_04_housing__vs__leave_one_out_housing_activity,priority_04_housing,leave_one_out_housing_activity,housing_activity,replacement_against_reduced_core,False,after_midmonth_defining_releases,quadrant_brier_distance_to_exact_score_map,lower,180,-2.907430272813867e-06,0.0,-9.972608326452429e-05,9.081957844131053e-05,0.5496,2.907430272813867e-06,-9.081957844131057e-05,9.972608326452428e-05,0.5496,0.9160167966406718,12,2,5000,20260722,0.9160167966406718
