comparison_id,candidate_id,reference_id,block_id,experiment_arm,primary_atomic,comparison_scope,evaluation_checkpoint,paired_months,first_paired_month,last_paired_month,mean_delta_score_center_negative_log_predictive_density,median_delta_score_center_negative_log_predictive_density,mean_block_benefit_score_center_negative_log_predictive_density,mean_delta_quadrant_cross_entropy_to_exact_score_map,median_delta_quadrant_cross_entropy_to_exact_score_map,mean_block_benefit_quadrant_cross_entropy_to_exact_score_map,mean_delta_quadrant_brier_distance_to_exact_score_map,median_delta_quadrant_brier_distance_to_exact_score_map,mean_block_benefit_quadrant_brier_distance_to_exact_score_map,mean_delta_hard_quadrant_correct,median_delta_hard_quadrant_correct,mean_block_benefit_hard_quadrant_correct
priority_03_consumer__vs__leave_one_out_consumer_demand,priority_03_consumer,leave_one_out_consumer_demand,consumer_demand,replacement_against_reduced_core,False,full_common_calendar,after_employment_situation,183,2011-01-01,2026-05-01,4.837528815810549,0.0,-4.837528815810549,-0.0006933441949680855,0.0,0.0006933441949680855,-0.0003029115058096367,0.0,0.0003029115058096367,-0.01092896174863388,0.0,-0.01092896174863388
priority_03_consumer__vs__leave_one_out_consumer_demand,priority_03_consumer,leave_one_out_consumer_demand,consumer_demand,replacement_against_reduced_core,False,full_common_calendar,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,3.057409717638352,0.0,-3.057409717638352,-0.00020610676884597512,0.0,0.00020610676884597512,-0.00013822245995442206,0.0,0.00013822245995442206,0.01092896174863388,0.0,0.01092896174863388
priority_03_consumer__vs__leave_one_out_consumer_demand,priority_03_consumer,leave_one_out_consumer_demand,consumer_demand,replacement_against_reduced_core,False,full_common_calendar,before_any_defining_release,183,2011-01-01,2026-05-01,-0.009019241908568258,0.0,0.009019241908568258,4.5091176547076125e-05,0.0,-4.5091176547076125e-05,-2.454745225381224e-06,0.0,2.454745225381224e-06,0.01092896174863388,0.0,0.01092896174863388
priority_03_consumer__vs__leave_one_out_consumer_demand,priority_03_consumer,leave_one_out_consumer_demand,consumer_demand,replacement_against_reduced_core,False,full_common_calendar,strict_pre_final_score_day,183,2011-01-01,2026-05-01,3.056229594572908,0.0,-3.056229594572908,-0.00013346774732712525,0.0,0.00013346774732712525,-0.00010496625423768509,0.0,0.00010496625423768509,0.00546448087431694,0.0,0.00546448087431694
priority_04_housing__vs__leave_one_out_housing_activity,priority_04_housing,leave_one_out_housing_activity,housing_activity,replacement_against_reduced_core,False,full_common_calendar,after_employment_situation,183,2011-01-01,2026-05-01,-7.504832661645928e-07,0.0,7.504832661645928e-07,-8.126695949022982e-07,0.0,8.126695949022982e-07,-4.089524231800891e-07,0.0,4.089524231800891e-07,0.0,0.0,0.0
priority_04_housing__vs__leave_one_out_housing_activity,priority_04_housing,leave_one_out_housing_activity,housing_activity,replacement_against_reduced_core,False,full_common_calendar,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-0.0010212193628294142,0.0,0.0010212193628294142,3.547772147987302e-05,0.0,-3.547772147987302e-05,-2.859768798185436e-06,0.0,2.859768798185436e-06,-0.01092896174863388,0.0,-0.01092896174863388
priority_04_housing__vs__leave_one_out_housing_activity,priority_04_housing,leave_one_out_housing_activity,housing_activity,replacement_against_reduced_core,False,full_common_calendar,before_any_defining_release,183,2011-01-01,2026-05-01,-7.432489235976555e-07,0.0,7.432489235976555e-07,-1.4222737304316248e-06,0.0,1.4222737304316248e-06,-7.078410188305727e-07,0.0,7.078410188305727e-07,0.0,0.0,0.0
priority_04_housing__vs__leave_one_out_housing_activity,priority_04_housing,leave_one_out_housing_activity,housing_activity,replacement_against_reduced_core,False,full_common_calendar,strict_pre_final_score_day,183,2011-01-01,2026-05-01,-0.016456233334668644,0.0,0.016456233334668644,0.0003431420221053925,0.0,-0.0003431420221053925,0.00023652145350287645,0.0,-0.00023652145350287645,-0.00546448087431694,0.0,-0.00546448087431694
priority_06_backlog__vs__leave_one_out_business_investment,priority_06_backlog,leave_one_out_business_investment,business_investment,replacement_against_reduced_core,False,full_common_calendar,after_employment_situation,183,2011-01-01,2026-05-01,2.323950229499267e-05,0.0,-2.323950229499267e-05,8.383801837297317e-06,0.0,-8.383801837297317e-06,4.195251357832473e-06,0.0,-4.195251357832473e-06,0.0,0.0,0.0
priority_06_backlog__vs__leave_one_out_business_investment,priority_06_backlog,leave_one_out_business_investment,business_investment,replacement_against_reduced_core,False,full_common_calendar,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,3.334196975395567e-05,0.0,-3.334196975395567e-05,4.944972849115218e-06,0.0,-4.944972849115218e-06,2.4778537322109518e-06,0.0,-2.4778537322109518e-06,-0.00546448087431694,0.0,-0.00546448087431694
priority_06_backlog__vs__leave_one_out_business_investment,priority_06_backlog,leave_one_out_business_investment,business_investment,replacement_against_reduced_core,False,full_common_calendar,before_any_defining_release,183,2011-01-01,2026-05-01,2.0341031668296018e-05,0.0,-2.0341031668296018e-05,8.462427141956204e-06,0.0,-8.462427141956204e-06,4.067133135365624e-06,0.0,-4.067133135365624e-06,0.0,0.0,0.0
priority_06_backlog__vs__leave_one_out_business_investment,priority_06_backlog,leave_one_out_business_investment,business_investment,replacement_against_reduced_core,False,full_common_calendar,strict_pre_final_score_day,183,2011-01-01,2026-05-01,-0.008523316146619239,0.0,0.008523316146619239,0.0003741553716510547,0.0,-0.0003741553716510547,0.0002124338163234097,0.0,-0.0002124338163234097,-0.01639344262295082,0.0,-0.01639344262295082
