filter_variant,model_role,evaluation_checkpoint,months,mean_score_nlpd,mean_quadrant_cross_entropy,mean_quadrant_brier,mean_quadrant_kl,hard_quadrant_accuracy,growth_rmse,inflation_rmse,median_score_nlpd,burn_in_months
claims_independent,sensitivity,after_employment_situation,183,7.5942355802631125,1.4332883193576655,0.10073897335562049,0.36918171262141714,0.5300546448087432,2.053609555707385,0.6396736433911545,1.5574727401460877,4
consumer_real_implicit_joint_only,sensitivity,after_employment_situation,183,7.608570370255701,1.4335062630464777,0.1008603860798884,0.36939965631022936,0.5300546448087432,2.066185640627571,0.6385955426305264,1.57849365691525,4
consumer_implicit_only,sensitivity,after_employment_situation,183,7.608782848922405,1.4335532224709224,0.10088254028110925,0.3694466157346739,0.5300546448087432,2.0661791306018116,0.6386986498628754,1.578493899923473,4
business_revised_joint,sensitivity,after_employment_situation,183,7.609012477004044,1.433549400034282,0.10088120322548566,0.3694427932980337,0.5300546448087432,2.066179676122218,0.638767304872286,1.5784976783916749,4
business_legacy,sensitivity,after_employment_situation,183,7.609014331761468,1.4335499112268046,0.10088145403700013,0.36944330449055635,0.5300546448087432,2.0661796663952163,0.638768386122837,1.5784976798549923,4
claims_icsa_only,sensitivity,after_employment_situation,183,7.609014331761468,1.4335499112268046,0.10088145403700013,0.36944330449055635,0.5300546448087432,2.0661796663952163,0.638768386122837,1.5784976798549923,4
consumer_legacy,sensitivity,after_employment_situation,183,7.609014331761468,1.4335499112268046,0.10088145403700013,0.36944330449055635,0.5300546448087432,2.0661796663952163,0.638768386122837,1.5784976798549923,4
price_import,sensitivity,after_employment_situation,183,7.609014331761468,1.4335499112268046,0.10088145403700013,0.36944330449055635,0.5300546448087432,2.0661796663952163,0.638768386122837,1.5784976798549923,4
business_activity_only,sensitivity,after_employment_situation,183,7.6090162288389624,1.4335505370283383,0.10088176112723998,0.3694439302920898,0.5300546448087432,2.066179650544442,0.6387695711406767,1.5784976828827357,4
business_pipeline_only,sensitivity,after_employment_situation,183,7.609022258053637,1.433552943852005,0.10088293925736495,0.3694463371157566,0.5300546448087432,2.06617965419254,0.6387736152057567,1.5784976888560818,4
business_none,sensitivity,after_employment_situation,183,7.609022528574147,1.4335530254092308,0.10088297866092467,0.36944641867298256,0.5300546448087432,2.066179659045336,0.6387737133092516,1.578497689409634,4
consumer_real_only,sensitivity,after_employment_situation,183,7.609044356802795,1.4335691590449586,0.10089200302283957,0.3694625523087102,0.5300546448087432,2.0661855078975746,0.6387769946600477,1.5784958278454984,4
