evaluation_sample,comparison_id,candidate_id,reference_id,block_id,experiment_arm,primary_atomic,evaluation_checkpoint,metric,better_direction,paired_months,mean_candidate_minus_reference,median_candidate_minus_reference,bootstrap_lower,bootstrap_upper,bootstrap_probability_candidate_better,mean_block_benefit,block_benefit_lower,block_benefit_upper,bootstrap_probability_block_beneficial,centered_two_sided_p_value,block_length_months,calendar_segments,replications,random_seed,holm_adjusted_p_value_price,holm_adjusted_p_value_consumer,holm_adjusted_p_value_business,holm_adjusted_p_value_claims,family,declared_arm,response
full_sample,business_activity_only__vs__business_none,business_activity_only,business_none,core_capital_goods_shipments_log_change,add_one,True,before_any_defining_release,hard_quadrant_correct,higher,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,1,5000,20260722,,,1.0,,business,add_one,core_capital_goods_shipments_log_change
full_sample,business_activity_only__vs__business_none,business_activity_only,business_none,core_capital_goods_shipments_log_change,add_one,True,before_any_defining_release,quadrant_brier_distance_to_exact_score_map,lower,183,-1.1904638647153372e-06,0.0,-3.6028850522887305e-06,2.6606093310408224e-08,0.7594,1.1904638647153372e-06,-2.6606093310408237e-08,3.6028850522887305e-06,0.7594,0.4537092581483703,12,1,5000,20260722,,,0.9074185162967406,,business,add_one,core_capital_goods_shipments_log_change
full_sample,business_activity_only__vs__business_none,business_activity_only,business_none,core_capital_goods_shipments_log_change,add_one,True,before_any_defining_release,quadrant_cross_entropy_to_exact_score_map,lower,183,-2.608566342524362e-06,0.0,-7.885056254760102e-06,6.391359965998958e-08,0.8104,2.608566342524362e-06,-6.391359965998966e-08,7.885056254760102e-06,0.8104,0.380123975204959,12,1,5000,20260722,,,1.0,,business,add_one,core_capital_goods_shipments_log_change
full_sample,business_activity_only__vs__business_none,business_activity_only,business_none,core_capital_goods_shipments_log_change,add_one,True,before_any_defining_release,score_center_negative_log_predictive_density,lower,183,-6.153650911642071e-06,0.0,-1.8482432682598592e-05,4.5367281236379134e-08,0.8986,6.153650911642071e-06,-4.5367281236379194e-08,1.8482432682598592e-05,0.8986,0.235752849430114,12,1,5000,20260722,,,1.0,,business,add_one,core_capital_goods_shipments_log_change
full_sample,business_activity_only__vs__business_revised_joint,business_activity_only,business_revised_joint,core_capital_goods_orders_shipments_gap_log_change,leave_one_out,False,before_any_defining_release,hard_quadrant_correct,higher,183,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,12,1,5000,20260722,,,1.0,,business,leave_one_out,core_capital_goods_orders_shipments_gap_log_change
full_sample,business_activity_only__vs__business_revised_joint,business_activity_only,business_revised_joint,core_capital_goods_orders_shipments_gap_log_change,leave_one_out,False,before_any_defining_release,quadrant_brier_distance_to_exact_score_map,lower,183,6.15872829231221e-07,0.0,-1.1777013399501155e-08,1.8528721985590814e-06,0.1016,6.15872829231221e-07,-1.1777013399501155e-08,1.8528721985590814e-06,0.8984,0.23795240951809637,12,1,5000,20260722,,,0.7138572285542891,,business,leave_one_out,core_capital_goods_orders_shipments_gap_log_change
full_sample,business_activity_only__vs__business_revised_joint,business_activity_only,business_revised_joint,core_capital_goods_orders_shipments_gap_log_change,leave_one_out,False,before_any_defining_release,quadrant_cross_entropy_to_exact_score_map,lower,183,1.2023460515454293e-06,0.0,-4.439593706003587e-08,3.644607067414755e-06,0.1786,1.2023460515454293e-06,-4.439593706003587e-08,3.644607067414755e-06,0.8214,0.35652869426114775,12,1,5000,20260722,,,1.0,,business,leave_one_out,core_capital_goods_orders_shipments_gap_log_change
full_sample,business_activity_only__vs__business_revised_joint,business_activity_only,business_revised_joint,core_capital_goods_orders_shipments_gap_log_change,leave_one_out,False,before_any_defining_release,score_center_negative_log_predictive_density,lower,183,3.770945193456983e-06,0.0,-1.0651483268415526e-07,1.1439305627448156e-05,0.3472,3.770945193456983e-06,-1.0651483268415526e-07,1.1439305627448156e-05,0.6528,0.5990801839632074,12,1,5000,20260722,,,1.0,,business,leave_one_out,core_capital_goods_orders_shipments_gap_log_change
full_sample,business_pipeline_only__vs__business_none,business_pipeline_only,business_none,core_capital_goods_orders_shipments_gap_log_change,add_one,True,before_any_defining_release,hard_quadrant_correct,higher,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,1,5000,20260722,,,1.0,,business,add_one,core_capital_goods_orders_shipments_gap_log_change
full_sample,business_pipeline_only__vs__business_none,business_pipeline_only,business_none,core_capital_goods_orders_shipments_gap_log_change,add_one,True,before_any_defining_release,quadrant_brier_distance_to_exact_score_map,lower,183,-7.079880564034086e-08,0.0,-1.8609358758945368e-07,-3.3725825132670474e-10,0.988,7.079880564034086e-08,3.3725825132670303e-10,1.8609358758945368e-07,0.988,0.08178364327134573,12,1,5000,20260722,,,0.40891821635672865,,business,add_one,core_capital_goods_orders_shipments_gap_log_change
full_sample,business_pipeline_only__vs__business_none,business_pipeline_only,business_none,core_capital_goods_orders_shipments_gap_log_change,add_one,True,before_any_defining_release,quadrant_cross_entropy_to_exact_score_map,lower,183,-1.3884679780417277e-07,0.0,-3.671375700642445e-07,-3.8760007679153306e-10,0.9828,1.3884679780417277e-07,3.8760007679152996e-10,3.671375700642445e-07,0.9828,0.08538292341531693,12,1,5000,20260722,,,0.4269146170765847,,business,add_one,core_capital_goods_orders_shipments_gap_log_change
full_sample,business_pipeline_only__vs__business_none,business_pipeline_only,business_none,core_capital_goods_orders_shipments_gap_log_change,add_one,True,before_any_defining_release,score_center_negative_log_predictive_density,lower,183,-2.89859469516815e-07,0.0,-7.877361604525179e-07,6.316304403477214e-08,0.8984,2.89859469516815e-07,-6.316304403477214e-08,7.877361604525177e-07,0.8984,0.22095580883823235,12,1,5000,20260722,,,1.0,,business,add_one,core_capital_goods_orders_shipments_gap_log_change
full_sample,business_pipeline_only__vs__business_revised_joint,business_pipeline_only,business_revised_joint,core_capital_goods_shipments_log_change,leave_one_out,False,before_any_defining_release,hard_quadrant_correct,higher,183,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,12,1,5000,20260722,,,1.0,,business,leave_one_out,core_capital_goods_shipments_log_change
full_sample,business_pipeline_only__vs__business_revised_joint,business_pipeline_only,business_revised_joint,core_capital_goods_shipments_log_change,leave_one_out,False,before_any_defining_release,quadrant_brier_distance_to_exact_score_map,lower,183,1.7355378883062174e-06,0.0,-1.35752182171795e-07,5.353536397258387e-06,0.2868,1.7355378883062174e-06,-1.35752182171795e-07,5.353536397258387e-06,0.7132,0.505498900219956,12,1,5000,20260722,,,0.9074185162967406,,business,leave_one_out,core_capital_goods_shipments_log_change
full_sample,business_pipeline_only__vs__business_revised_joint,business_pipeline_only,business_revised_joint,core_capital_goods_shipments_log_change,leave_one_out,False,before_any_defining_release,quadrant_cross_entropy_to_exact_score_map,lower,183,3.6720655962656186e-06,0.0,-2.5684468270263496e-07,1.1323469839586783e-05,0.2818,3.6720655962656186e-06,-2.5684468270263496e-07,1.1323469839586783e-05,0.7182,0.4927014597080584,12,1,5000,20260722,,,1.0,,business,leave_one_out,core_capital_goods_shipments_log_change
