display_order,variant_id,model_role,enabled,non_defining_evidence,partial_defining_releases,emission_family,var_method,retail_method,evidence_set_id
0,transition_only,major_benchmark,True,False,False,gaussian,ols,baseline_nominal,legacy_baseline
1,partial_only,major_benchmark,True,False,True,gaussian,ols,baseline_nominal,legacy_baseline
2,student_t_7_combined,baseline,True,True,True,student_t_7,ols,baseline_nominal,legacy_baseline
3,structural_reduced_input,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,structural_reduced_input
4,structural_reduced_no_price,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,structural_reduced_no_price
5,price_import,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,price_import
6,consumer_none,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,consumer_none
7,consumer_legacy,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,consumer_legacy
8,consumer_real_only,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,consumer_real_only
9,consumer_implicit_only,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,consumer_implicit_only
10,consumer_vehicle_only,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,consumer_vehicle_only
11,consumer_real_implicit_joint_only,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,consumer_real_implicit_joint_only
12,consumer_without_real,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,consumer_without_real
13,consumer_without_implicit,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,consumer_without_implicit
14,consumer_revised_full,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,consumer_revised_full
15,business_none,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,business_none
16,business_legacy,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,business_legacy
17,business_activity_only,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,business_activity_only
18,business_pipeline_only,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,business_pipeline_only
19,business_revised_joint,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,business_revised_joint
20,claims_none,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,claims_none
21,claims_icsa_only,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,claims_icsa_only
22,claims_ccsa_conditional_only,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,claims_ccsa_conditional_only
23,claims_independent,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,claims_independent
24,claims_conditional_joint,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,claims_conditional_joint
25,all_revised_candidate,sensitivity,True,True,True,student_t_7,ols,baseline_nominal,all_revised_candidate
