comparison_id,candidate_id,reference_id,block_id,experiment_arm,primary_atomic,comparison_scope,evaluation_checkpoint,paired_months,first_paired_month,last_paired_month,mean_delta_score_center_negative_log_predictive_density,median_delta_score_center_negative_log_predictive_density,mean_block_benefit_score_center_negative_log_predictive_density,mean_delta_quadrant_cross_entropy_to_exact_score_map,median_delta_quadrant_cross_entropy_to_exact_score_map,mean_block_benefit_quadrant_cross_entropy_to_exact_score_map,mean_delta_quadrant_brier_distance_to_exact_score_map,median_delta_quadrant_brier_distance_to_exact_score_map,mean_block_benefit_quadrant_brier_distance_to_exact_score_map,mean_delta_hard_quadrant_correct,median_delta_hard_quadrant_correct,mean_block_benefit_hard_quadrant_correct
price_import__vs__structural_reduced_input,price_import,structural_reduced_input,price,add_one,False,full_common_calendar,after_employment_situation,183,2011-01-01,2026-05-01,-0.0005038199817352412,0.0,0.0005038199817352412,-0.0001282716641550577,0.0,0.0001282716641550577,-6.49613280237005e-05,0.0,6.49613280237005e-05,0.0,0.0,0.0
price_import__vs__structural_reduced_input,price_import,structural_reduced_input,price,add_one,False,full_common_calendar,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-0.027126969019548575,0.0,0.027126969019548575,0.00047709927266479415,0.0,-0.00047709927266479415,0.0005782070733576371,0.0,-0.0005782070733576371,-0.01092896174863388,0.0,-0.01092896174863388
price_import__vs__structural_reduced_input,price_import,structural_reduced_input,price,add_one,False,full_common_calendar,before_any_defining_release,183,2011-01-01,2026-05-01,-0.0005403254068314146,0.0,0.0005403254068314146,-0.00012430279082536506,0.0,0.00012430279082536506,-6.573514292935098e-05,0.0,6.573514292935098e-05,0.00546448087431694,0.0,0.00546448087431694
price_import__vs__structural_reduced_input,price_import,structural_reduced_input,price,add_one,False,full_common_calendar,strict_pre_final_score_day,183,2011-01-01,2026-05-01,-0.02849219173367865,0.0,0.02849219173367865,-0.00020089182292649921,0.0,0.00020089182292649921,0.000257785819985969,0.0,-0.000257785819985969,-0.01092896174863388,0.0,-0.01092896174863388
price_import__vs__structural_reduced_no_price,price_import,structural_reduced_no_price,price,add_one,True,full_common_calendar,after_employment_situation,183,2011-01-01,2026-05-01,-0.00034027131591360757,0.0,0.00034027131591360757,-7.68113560141859e-05,0.0,7.68113560141859e-05,-4.046295915296148e-05,0.0,4.046295915296148e-05,-0.00546448087431694,0.0,-0.00546448087431694
price_import__vs__structural_reduced_no_price,price_import,structural_reduced_no_price,price,add_one,True,full_common_calendar,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-0.026846488687160323,0.0,0.026846488687160323,0.0005828512846110071,0.0,-0.0005828512846110071,0.0006371087668903225,0.0,-0.0006371087668903225,-0.01092896174863388,0.0,-0.01092896174863388
price_import__vs__structural_reduced_no_price,price_import,structural_reduced_no_price,price,add_one,True,full_common_calendar,before_any_defining_release,183,2011-01-01,2026-05-01,-0.000371282962651833,0.0,0.000371282962651833,-6.780656924138257e-05,0.0,6.780656924138257e-05,-3.954114976648065e-05,0.0,3.954114976648065e-05,0.00546448087431694,0.0,0.00546448087431694
price_import__vs__structural_reduced_no_price,price_import,structural_reduced_no_price,price,add_one,True,full_common_calendar,strict_pre_final_score_day,183,2011-01-01,2026-05-01,-0.026937068395589174,0.0,0.026937068395589174,4.045606563949919e-05,0.0,-4.045606563949919e-05,0.0003868818457130911,0.0,-0.0003868818457130911,0.0,0.0,0.0
structural_reduced_input__vs__structural_reduced_no_price,structural_reduced_input,structural_reduced_no_price,price,add_one,True,full_common_calendar,after_employment_situation,183,2011-01-01,2026-05-01,0.0001635486658216337,0.0,-0.0001635486658216337,5.146030814087179e-05,0.0,-5.146030814087179e-05,2.449836887073904e-05,0.0,-2.449836887073904e-05,-0.00546448087431694,0.0,-0.00546448087431694
structural_reduced_input__vs__structural_reduced_no_price,structural_reduced_input,structural_reduced_no_price,price,add_one,True,full_common_calendar,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,0.000280480332388253,0.0,-0.000280480332388253,0.00010575201194621294,0.0,-0.00010575201194621294,5.890169353268507e-05,0.0,-5.890169353268507e-05,0.0,0.0,0.0
