variant_id,observation_model_id,audit_rows,applied_updates,fit_errors,median_event_weight,selected_long_rows,live_event_vectors,training_candidates,training_vector_policy,excluded_incomplete_response,excluded_incomplete_control,excluded_score_unavailable,first_live_release,last_live_release,first_target_month,last_target_month,variants_using_model
all_revised_candidate,business_activity_pipeline_joint,156,82,71,1.012781724450281,277,156,119,monthly_reference_vector_max_availability,35,0,2,2013-07-25,2026-06-25,2013-06-01,2026-05-01,business_revised_joint|all_revised_candidate
all_revised_candidate,consumer_real_implicit_joint,189,179,10,1.1125690441430878,478,239,238,monthly_reference_vector_max_availability,0,0,1,2006-07-19,2026-07-16,2006-06-01,2026-06-01,consumer_real_implicit_joint_only|consumer_revised_full|all_revised_candidate
all_revised_candidate,consumer_vehicle_units,138,114,24,1.0879584806634655,138,138,135,monthly_reference_vector_max_availability,0,0,3,2015-02-04,2026-07-03,2015-01-01,2026-06-01,consumer_vehicle_only|consumer_without_real|consumer_without_implicit|consumer_revised_full|all_revised_candidate
all_revised_candidate,inflation_expectations,29,3,26,0.8012242134822846,29,29,26,monthly_reference_vector_max_availability,0,0,3,2024-02-13,2026-07-14,2024-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|structural_reduced_input|structural_reduced_no_price|price_import|consumer_none|consumer_legacy|consumer_real_only|consumer_implicit_only|consumer_vehicle_only|consumer_real_implicit_joint_only|consumer_without_real|consumer_without_implicit|consumer_revised_full|business_none|business_legacy|business_activity_only|business_pipeline_only|business_revised_joint|claims_none|claims_icsa_only|claims_ccsa_conditional_only|claims_independent|claims_conditional_joint|all_revised_candidate
all_revised_candidate,inflation_import_prices,171,147,24,1.018769651845506,171,171,169,monthly_reference_vector_max_availability,0,0,2,2012-04-11,2026-07-17,2012-03-01,2026-06-01,price_import|consumer_none|consumer_legacy|consumer_real_only|consumer_implicit_only|consumer_vehicle_only|consumer_real_implicit_joint_only|consumer_without_real|consumer_without_implicit|consumer_revised_full|business_none|business_legacy|business_activity_only|business_pipeline_only|business_revised_joint|claims_none|claims_icsa_only|claims_ccsa_conditional_only|claims_independent|claims_conditional_joint|all_revised_candidate
all_revised_candidate,weekly_continued_claims_conditional,597,489,106,1.1111499043894693,1192,597,581,event_level_repeated_monthly_target,0,2,14,2015-02-12,2026-07-16,2015-01-01,2026-07-01,claims_ccsa_conditional_only|claims_conditional_joint|all_revised_candidate
all_revised_candidate,weekly_labor_stress,597,490,107,1.1040978759524016,597,597,582,event_level_repeated_monthly_target,0,0,15,2015-02-12,2026-07-16,2015-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|structural_reduced_input|structural_reduced_no_price|price_import|consumer_none|consumer_legacy|consumer_real_only|consumer_implicit_only|consumer_vehicle_only|consumer_real_implicit_joint_only|consumer_without_real|consumer_without_implicit|consumer_revised_full|business_none|business_legacy|business_activity_only|business_pipeline_only|business_revised_joint|claims_icsa_only|claims_independent|claims_conditional_joint|all_revised_candidate
business_activity_only,business_activity_only,121,82,36,1.055777315562323,121,121,119,monthly_reference_vector_max_availability,0,0,2,2016-06-24,2026-06-25,2016-05-01,2026-05-01,business_activity_only
business_activity_only,consumer_demand,191,182,9,1.1417112855625642,484,242,239,monthly_reference_vector_max_availability,0,0,3,2006-06-13,2026-07-16,2006-05-01,2026-06-01,transition_only|partial_only|student_t_7_combined|structural_reduced_input|structural_reduced_no_price|price_import|consumer_legacy|business_none|business_legacy|business_activity_only|business_pipeline_only|business_revised_joint|claims_none|claims_icsa_only|claims_ccsa_conditional_only|claims_independent|claims_conditional_joint
business_activity_only,inflation_expectations,29,3,26,0.8012230386100898,29,29,26,monthly_reference_vector_max_availability,0,0,3,2024-02-13,2026-07-14,2024-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|structural_reduced_input|structural_reduced_no_price|price_import|consumer_none|consumer_legacy|consumer_real_only|consumer_implicit_only|consumer_vehicle_only|consumer_real_implicit_joint_only|consumer_without_real|consumer_without_implicit|consumer_revised_full|business_none|business_legacy|business_activity_only|business_pipeline_only|business_revised_joint|claims_none|claims_icsa_only|claims_ccsa_conditional_only|claims_independent|claims_conditional_joint|all_revised_candidate
business_activity_only,inflation_import_prices,171,147,24,1.0163254607319894,171,171,169,monthly_reference_vector_max_availability,0,0,2,2012-04-11,2026-07-17,2012-03-01,2026-06-01,price_import|consumer_none|consumer_legacy|consumer_real_only|consumer_implicit_only|consumer_vehicle_only|consumer_real_implicit_joint_only|consumer_without_real|consumer_without_implicit|consumer_revised_full|business_none|business_legacy|business_activity_only|business_pipeline_only|business_revised_joint|claims_none|claims_icsa_only|claims_ccsa_conditional_only|claims_independent|claims_conditional_joint|all_revised_candidate
business_activity_only,weekly_labor_stress,597,490,107,1.1039458129228128,597,597,582,event_level_repeated_monthly_target,0,0,15,2015-02-12,2026-07-16,2015-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|structural_reduced_input|structural_reduced_no_price|price_import|consumer_none|consumer_legacy|consumer_real_only|consumer_implicit_only|consumer_vehicle_only|consumer_real_implicit_joint_only|consumer_without_real|consumer_without_implicit|consumer_revised_full|business_none|business_legacy|business_activity_only|business_pipeline_only|business_revised_joint|claims_icsa_only|claims_independent|claims_conditional_joint|all_revised_candidate
business_legacy,business_investment,190,82,105,1.0494310367474673,380,259,119,monthly_reference_vector_max_availability,138,0,2,2004-12-23,2026-06-25,2004-11-01,2026-05-01,transition_only|partial_only|student_t_7_combined|structural_reduced_input|structural_reduced_no_price|price_import|consumer_none|consumer_legacy|consumer_real_only|consumer_implicit_only|consumer_vehicle_only|consumer_real_implicit_joint_only|consumer_without_real|consumer_without_implicit|consumer_revised_full|business_legacy|claims_none|claims_icsa_only|claims_ccsa_conditional_only|claims_independent|claims_conditional_joint
