filter_variant,comparison_baseline,comparison_scope,evaluation_checkpoint,paired_months,first_paired_month,last_paired_month,mean_delta_score_center_negative_log_predictive_density,mean_delta_growth_squared_error,mean_delta_inflation_squared_error,mean_delta_quadrant_cross_entropy_to_exact_score_map,mean_delta_quadrant_brier_distance_to_exact_score_map,mean_delta_quadrant_kl_divergence_to_exact_score_map,mean_delta_hard_quadrant_correct
gaussian_combined,transition_only,all_common_evaluation_months,after_employment_situation,183,2011-01-01,2026-05-01,-19.754589151234693,-15.632389260604219,-0.11729825170631429,-0.10118120379720509,-0.04858535874494789,-0.10118120379720508,0.16393442622950818
gaussian_combined,transition_only,all_common_evaluation_months,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-20.7125968216629,-17.29133756482019,-0.23663020579389782,-0.23727812806091378,-0.11807328472770555,-0.23727812806091378,0.453551912568306
gaussian_combined,transition_only,all_common_evaluation_months,before_any_defining_release,183,2011-01-01,2026-05-01,-0.6237607539004819,-3.165534448496224,0.03245572223583556,0.0010160798579349356,0.0005587510190752326,0.0010160798579349165,0.0
gaussian_combined,transition_only,all_common_evaluation_months,strict_pre_final_score_day,183,2011-01-01,2026-05-01,-20.64880278028902,-17.286882898179478,-0.23374982556820106,-0.23524506298665876,-0.11720304299396024,-0.23524506298665873,0.4371584699453552
gaussian_nondefining,transition_only,all_common_evaluation_months,after_employment_situation,183,2011-01-01,2026-05-01,-0.6230088882272506,-3.1690631201026154,0.032732120780840944,-0.0004491097889370423,-0.0002472297578490154,-0.00044910978893705544,0.0
gaussian_nondefining,transition_only,all_common_evaluation_months,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,0.951652844020496,-6.101390486024971,0.21985346855577723,0.024966258047819913,0.004928562716885886,0.024966258047819868,-0.01092896174863388
gaussian_nondefining,transition_only,all_common_evaluation_months,before_any_defining_release,183,2011-01-01,2026-05-01,-0.6229217106333755,-3.168964572457945,0.032724145668562916,-0.0004332958030728483,-0.00023992792187060483,-0.00043329580307286075,0.0
gaussian_nondefining,transition_only,all_common_evaluation_months,strict_pre_final_score_day,183,2011-01-01,2026-05-01,1.1458010616844059,-6.21918797244991,0.23030358361084713,0.034027391389558716,0.007625291543369638,0.03402739138955873,-0.01092896174863388
huber_var_combined,transition_only,all_common_evaluation_months,after_employment_situation,183,2011-01-01,2026-05-01,-13.960738682977055,-12.336109677379277,-0.1592693673064321,-0.10244417889612142,-0.04899909918536301,-0.10244417889612144,0.15300546448087432
huber_var_combined,transition_only,all_common_evaluation_months,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-16.42363153865129,-14.57127069748461,-0.31635157364827776,-0.2371258137179882,-0.11775561635367726,-0.2371258137179882,0.4262295081967213
