profile_id,observation_model_id,base_lambda,degrees_of_freedom,validation_folds,validation_observations,total_predictive_nll,mean_predictive_nll,best_tail_for_profile,selection_role,sensitivity_status
base:business_investment,business_investment,100.0,4.0,7,76,102.1751305846099,1.3444096129553935,True,full-history causal-fold diagnostic only; live schedule uses prior folds,evaluated
base:business_investment,business_investment,100.0,5.0,7,76,103.2962729283222,1.3591614858989762,False,full-history causal-fold diagnostic only; live schedule uses prior folds,evaluated
base:business_investment,business_investment,100.0,7.0,7,76,106.0552380478693,1.395463658524596,False,full-history causal-fold diagnostic only; live schedule uses prior folds,evaluated
base:business_investment,business_investment,100.0,10.0,7,76,110.14673980722823,1.449299207989845,False,full-history causal-fold diagnostic only; live schedule uses prior folds,evaluated
base:business_investment,business_investment,100.0,inf,7,76,183.25570418590004,2.411259265603948,False,full-history causal-fold diagnostic only; live schedule uses prior folds,evaluated
base:consumer_demand,consumer_demand,1.0,4.0,15,172,321.3716057587189,1.8684395683646446,True,full-history causal-fold diagnostic only; live schedule uses prior folds,evaluated
base:consumer_demand,consumer_demand,1.0,5.0,15,172,327.8890919003133,1.9063319296529844,False,full-history causal-fold diagnostic only; live schedule uses prior folds,evaluated
base:consumer_demand,consumer_demand,1.0,7.0,15,172,340.5000295833973,1.9796513347871936,False,full-history causal-fold diagnostic only; live schedule uses prior folds,evaluated
base:consumer_demand,consumer_demand,1.0,10.0,15,172,356.9883830528236,2.075513854958277,False,full-history causal-fold diagnostic only; live schedule uses prior folds,evaluated
base:consumer_demand,consumer_demand,0.1,inf,15,172,685.4701027410575,3.9852912950061485,False,full-history causal-fold diagnostic only; live schedule uses prior folds,evaluated
base:housing_activity,housing_activity,100.0,4.0,11,123,381.0293788967463,3.097799828428832,False,full-history causal-fold diagnostic only; live schedule uses prior folds,evaluated
base:housing_activity,housing_activity,100.0,5.0,11,123,380.4646032600416,3.093208156585704,True,full-history causal-fold diagnostic only; live schedule uses prior folds,evaluated
base:housing_activity,housing_activity,100.0,7.0,11,123,380.6627451640904,3.0948190663747184,False,full-history causal-fold diagnostic only; live schedule uses prior folds,evaluated
