reference_month,growth_score,inflation_score,growth_score_available_at,inflation_score_available_at,score_available_at,data_status
2000-01-01,0.878902291330785,,2000-02-28,,,missing_component_feature
2000-02-01,-0.07021298575863502,,2000-03-31,,,missing_component_feature
2000-03-01,0.27039466594629186,,2000-04-28,,,missing_component_feature
2000-04-01,0.9502714434372255,,2000-05-26,,,missing_component_feature
2000-05-01,-0.14315335071360671,,2000-06-30,,,missing_component_feature
2000-06-01,-0.06057830962603783,,2000-08-01,,,missing_component_feature
2000-07-01,-0.1807918312686718,,2000-08-28,,,insufficient_standardization_history
2000-08-01,-0.18589698094083615,,2000-09-29,,,insufficient_standardization_history
2000-09-01,0.5791627000024956,,2000-10-30,,,insufficient_standardization_history
2000-10-01,-0.3615022915432911,,2000-11-30,,,insufficient_standardization_history
2000-11-01,-0.5333561027463194,,2000-12-22,,,insufficient_standardization_history
2000-12-01,-0.5516733450634137,,2001-02-01,,,insufficient_standardization_history
2001-01-01,-0.4518926930374925,,2001-03-01,,,insufficient_standardization_history
2001-02-01,-0.5373400077242031,,2001-03-30,,,insufficient_standardization_history
2001-03-01,-0.4028770811347093,,2001-04-30,,,insufficient_standardization_history
2001-04-01,-1.1285746856062384,,2001-05-29,,,insufficient_standardization_history
2001-05-01,-0.486729116043501,,2001-07-02,,,insufficient_standardization_history
2001-06-01,-0.9775597538437792,,2001-07-31,,,insufficient_standardization_history
2001-07-01,-0.4298743778674968,,2001-08-30,,,insufficient_standardization_history
2001-08-01,-1.4548806422361498,,2001-10-01,,,insufficient_standardization_history
2001-09-01,-2.1280358874727017,,2001-11-01,,,insufficient_standardization_history
2001-10-01,-0.7510356904534671,,2001-12-03,,,insufficient_standardization_history
2001-11-01,-1.8029799614556024,,2001-12-21,,,insufficient_standardization_history
2001-12-01,-0.94403909171963,,2002-01-31,,,insufficient_standardization_history
2002-01-01,-0.0686097571373605,,2002-03-01,,,insufficient_standardization_history
2002-02-01,0.3823969122757432,,2002-03-29,,,insufficient_standardization_history
2002-03-01,-0.14096723501578357,,2002-04-29,,,insufficient_standardization_history
2002-04-01,-0.4816822202728973,,2002-05-28,,,insufficient_standardization_history
2002-05-01,0.08768301226044498,,2002-06-28,,,insufficient_standardization_history
2002-06-01,0.16819109189256234,,2002-08-02,,,insufficient_standardization_history
2002-07-01,0.2335097594829348,,2002-08-30,,,insufficient_standardization_history
2002-08-01,-0.08783720349078,,2002-09-30,,,insufficient_standardization_history
2002-09-01,-0.708925606185173,,2002-11-01,,,insufficient_standardization_history
2002-10-01,-0.8179953748527826,,2002-11-27,,,insufficient_standardization_history
2002-11-01,-0.5058669023835718,,2002-12-23,,,insufficient_standardization_history
2002-12-01,-0.03510793193971152,,2003-01-31,,,insufficient_standardization_history
2003-01-01,0.4692671511375144,,2003-03-03,,,insufficient_standardization_history
2003-02-01,-1.1111112452105711,,2003-03-28,,,insufficient_standardization_history
2003-03-01,-0.6900065373701991,,2003-04-28,,,insufficient_standardization_history
2003-04-01,-0.8625394410313839,,2003-05-30,,,insufficient_standardization_history
2003-05-01,-0.2851904128718469,,2003-06-27,,,insufficient_standardization_history
2003-06-01,-0.7395744304367395,,2003-08-01,,,insufficient_standardization_history
2003-07-01,0.49275401993321305,,2003-08-29,,,insufficient_standardization_history
2003-08-01,0.03675650574022438,,2003-09-29,,,insufficient_standardization_history
2003-09-01,-0.4443546968980824,,2003-10-31,,,insufficient_standardization_history
2003-10-01,0.0919362393856665,,2003-11-26,,,insufficient_standardization_history
2003-11-01,0.6462416477476985,,2003-12-23,,,insufficient_standardization_history
2003-12-01,0.14462983988871703,,2004-02-02,,,insufficient_standardization_history
2004-01-01,0.3813908983833153,,2004-03-01,,,insufficient_standardization_history
2004-02-01,0.050022869747430525,,2004-03-26,,,insufficient_standardization_history
2004-03-01,-0.1292570786587226,,2004-04-30,,,insufficient_standardization_history
2004-04-01,0.7038154806437615,,2004-05-28,,,insufficient_standardization_history
2004-05-01,0.7738218371233861,,2004-06-28,,,insufficient_standardization_history
2004-06-01,-0.9200797224043414,,2004-08-03,,,insufficient_standardization_history
2004-07-01,0.5629523076965608,,2004-08-30,,,insufficient_standardization_history
2004-08-01,0.04647108920105328,,2004-09-30,,,insufficient_standardization_history
2004-09-01,0.16736103897017696,,2004-11-01,,,insufficient_standardization_history
2004-10-01,0.49183611153754114,,2004-12-01,,,insufficient_standardization_history
2004-11-01,0.08089770859728461,,2004-12-23,,,insufficient_standardization_history
2004-12-01,0.8152428262081213,,2005-01-31,,,insufficient_standardization_history
2005-01-01,0.007374700583469507,,2005-02-28,,,insufficient_standardization_history
2005-02-01,0.016520810374534234,,2005-03-31,,,insufficient_standardization_history
2005-03-01,0.31618398985990004,,2005-04-29,,,insufficient_standardization_history
2005-04-01,0.019639592597255052,,2005-05-27,,,insufficient_standardization_history
2005-05-01,0.06304085829417022,,2005-06-30,,,insufficient_standardization_history
2005-06-01,0.9253118476727553,,2005-08-02,,,insufficient_standardization_history
2005-07-01,0.3491950176525355,0.316649910226773,2005-09-01,2005-09-01,2005-09-01,score_available
2005-08-01,-0.545779885724233,-0.4308245603970905,2005-09-30,2005-09-30,2005-09-30,score_available
2005-09-01,-1.6521248965838184,-0.08202821029121225,2005-10-31,2005-10-31,2005-10-31,score_available
2005-10-01,0.3703756445013726,0.308441010944619,2005-12-01,2005-12-01,2005-12-01,score_available
2005-11-01,0.6926484378029637,0.11515337983033305,2005-12-22,2005-12-22,2005-12-22,score_available
2005-12-01,0.7867414315208408,0.18149805817706832,2006-01-30,2006-01-30,2006-01-30,score_available
2006-01-01,0.2984341176068297,0.655213940729912,2006-03-01,2006-03-01,2006-03-01,score_available
2006-02-01,0.17437815631653464,0.1467183052155072,2006-03-31,2006-03-31,2006-03-31,score_available
2006-03-01,0.4671262069120755,0.6049652857275838,2006-05-01,2006-05-01,2006-05-01,score_available
2006-04-01,0.25483069722405777,0.9902227223243993,2006-05-26,2006-05-26,2006-05-26,score_available
2006-05-01,-0.12169582753235506,0.22401355826695651,2006-06-30,2006-06-30,2006-06-30,score_available
2006-06-01,0.2952162483598892,0.8994549418354344,2006-08-01,2006-08-01,2006-08-01,score_available
2006-07-01,-0.046086799679711854,-0.020558613179759377,2006-08-31,2006-08-31,2006-08-31,score_available
2006-08-01,-0.20467461623764052,-0.38346268476331097,2006-09-29,2006-09-29,2006-09-29,score_available
2006-09-01,-0.18057978626980115,0.6166401292831553,2006-10-30,2006-10-30,2006-10-30,score_available
2006-10-01,0.4195936776801698,-0.8440483456966317,2006-11-30,2006-11-30,2006-11-30,score_available
2006-11-01,0.05081953252661933,0.38415400412969114,2006-12-22,2006-12-22,2006-12-22,score_available
2006-12-01,0.23821502195245445,0.450123447838659,2007-02-01,2007-02-01,2007-02-01,score_available
2007-01-01,-0.4228693386489757,0.29028974895448256,2007-03-01,2007-03-01,2007-03-01,score_available
2007-02-01,0.4784457965760208,0.8009953430032368,2007-03-30,2007-03-30,2007-03-30,score_available
2007-03-01,-0.18559907873305623,-0.3856662462357938,2007-04-30,2007-04-30,2007-04-30,score_available
2007-04-01,0.07351212315766215,-0.1757469807073965,2007-06-01,2007-06-01,2007-06-01,score_available
2007-05-01,-0.15676895737289617,0.08748013855467847,2007-06-29,2007-06-29,2007-06-29,score_available
2007-06-01,0.03757723197291916,0.4669131590107416,2007-07-31,2007-07-31,2007-07-31,score_available
2007-07-01,-0.06494189838751664,0.2984534789264527,2007-08-31,2007-08-31,2007-08-31,score_available
2007-08-01,0.11690891867058399,-0.04906056187259468,2007-09-28,2007-09-28,2007-09-28,score_available
2007-09-01,-0.32005249716601936,0.37428755471554087,2007-11-01,2007-11-01,2007-11-01,score_available
2007-10-01,-0.4392900463564931,-0.2630410932728291,2007-11-30,2007-11-30,2007-11-30,score_available
2007-11-01,0.21685309451896834,0.9445924057031745,2007-12-21,2007-12-21,2007-12-21,score_available
2007-12-01,-0.8733169422134637,0.5846838019418625,2008-01-31,2008-01-31,2008-01-31,score_available
2008-01-01,-0.18465747969434052,0.7889613502629051,2008-02-29,2008-02-29,2008-02-29,score_available
2008-02-01,-0.5806227107949871,-0.04422616629583597,2008-03-28,2008-03-28,2008-03-28,score_available
2008-03-01,-0.7259940985566395,0.08815344635980293,2008-05-01,2008-05-01,2008-05-01,score_available
2008-04-01,-0.6196750986964861,-0.3274009053166013,2008-05-30,2008-05-30,2008-05-30,score_available
2008-05-01,-1.0966790424381734,0.14605270837906037,2008-06-27,2008-06-27,2008-06-27,score_available
2008-06-01,-0.3421000340876951,0.7988284567711473,2008-08-04,2008-08-04,2008-08-04,score_available
2008-07-01,-0.8924553831056379,1.1673486599311405,2008-08-29,2008-08-29,2008-08-29,score_available
2008-08-01,-1.669965009833873,0.48565411530522967,2008-09-29,2008-09-29,2008-09-29,score_available
2008-09-01,-2.2541496068491718,-0.0067644013173234485,2008-10-31,2008-10-31,2008-10-31,score_available
2008-10-01,-0.999052070602739,-0.7763768273665566,2008-11-26,2008-11-26,2008-11-26,score_available
2008-11-01,-1.300674077278579,-0.4519772389586685,2008-12-24,2008-12-24,2008-12-24,score_available
